arauna_dex,name,types,bst,map,table,displaced
010,Formilim,bug,248,MAP_ROUTE104,land_mons,QWILFISH
010,Formilim,bug,248,MAP_ROUTE112,land_mons,QWILFISH
013,Tucanhão,flying/grass,437,MAP_ROUTE110,land_mons,PLUSLE
013,Tucanhão,flying/grass,437,MAP_ROUTE111,land_mons,FURRET
017,Curupim,grass/fairy,445,MAP_ROUTE111,land_mons,FURRET
017,Curupim,grass/fairy,445,MAP_ROUTE114,land_mons,WINGULL
019,Iaraço,water/fairy,548,MAP_ROUTE114,land_mons,VAPOREON
019,Iaraço,water/fairy,548,MAP_ROUTE114,land_mons,VAPOREON
024,Tamanduá,ground/steel,470,MAP_VICTORY_ROAD_1F,land_mons,FEEBAS
024,Tamanduá,ground/steel,470,MAP_GRANITE_CAVE_B1F,land_mons,TAILLOW
028,Tatuim,ground,283,MAP_ROUTE111,land_mons,MURKROW
028,Tatuim,ground,283,MAP_ROUTE111,land_mons,MURKROW
034,Jacarim,water,284,MAP_ROUTE102,land_mons,HOPPIP
034,Jacarim,water,284,MAP_ROUTE102,land_mons,GRIMER
040,Papaguim,flying,285,MAP_ROUTE104,land_mons,GLIGAR
040,Papaguim,flying,285,MAP_ROUTE104,land_mons,GLIGAR
043,Antinha,normal,286,MAP_ROUTE115,land_mons,MACHOKE
043,Antinha,normal,286,MAP_ARTISAN_CAVE_B1F,land_mons,GASTLY
046,Sucurim,water/poison,286,MAP_ROUTE110,land_mons,GLIGAR
046,Sucurim,water/poison,286,MAP_GRANITE_CAVE_1F,land_mons,SNEASEL
049,Borbolim,bug,287,MAP_SHOAL_CAVE_LOW_TIDE_ICE_ROOM,land_mons,MAGCARGO
049,Borbolim,bug,287,MAP_SHOAL_CAVE_LOW_TIDE_ICE_ROOM,land_mons,MAGCARGO
054,Guaraflama,fire/ghost,448,MAP_MAGMA_HIDEOUT_1F,land_mons,LEDIAN
054,Guaraflama,fire/ghost,448,MAP_MAGMA_HIDEOUT_1F,land_mons,LEDIAN
055,Peixim,water,282,MAP_ROUTE102,water_mons,QWILFISH
055,Peixim,water,282,MAP_ROUTE102,water_mons,QWILFISH
057,Mãe-d'Água,water/fairy,448,MAP_ROUTE110,land_mons,WAILORD
057,Mãe-d'Água,water/fairy,448,MAP_ROUTE121,land_mons,NOSEPASS
061,Preguim,normal,283,MAP_ROUTE101,land_mons,ZUBAT
061,Preguim,normal,283,MAP_ROUTE101,land_mons,ZUBAT
064,Aranin,bug,284,MAP_ROUTE101,land_mons,HOPPIP
064,Aranin,bug,284,MAP_ROUTE101,land_mons,HOPPIP
070,Cutim,normal,285,MAP_ROUTE103,land_mons,GLIGAR
070,Cutim,normal,285,MAP_ROUTE103,land_mons,GLIGAR
074,Marimbondo,bug/poison,449,MAP_SAFARI_ZONE_SOUTH,land_mons,SMOOCHUM
074,Marimbondo,bug/poison,449,MAP_SAFARI_ZONE_SOUTH,land_mons,LAIRON
075,Abelhinha,bug/flying,446,MAP_SAFARI_ZONE_SOUTH,land_mons,MIGHTYENA
075,Abelhinha,bug/flying,446,MAP_FIERY_PATH,land_mons,SWALOT
078,Coati,dark/ground,446,MAP_GRANITE_CAVE_B1F,land_mons,TAILLOW
078,Coati,dark/ground,446,MAP_GRANITE_CAVE_B1F,land_mons,TAILLOW
079,Gambá,poison/normal,286,MAP_SEAFLOOR_CAVERN_ROOM1,land_mons,LICKITUNG
079,Gambá,poison/normal,286,MAP_SEAFLOOR_CAVERN_ROOM1,land_mons,LICKITUNG
081,Sarué,poison/ghost,447,MAP_FIERY_PATH,land_mons,FERALIGATR
081,Sarué,poison/ghost,447,MAP_SAFARI_ZONE_NORTHWEST,land_mons,GRAVELER
082,Tuquinho,flying,287,MAP_ROUTE113,land_mons,ODDISH
082,Tuquinho,flying,287,MAP_ROUTE113,land_mons,ODDISH
088,Teiuzim,normal,282,MAP_SAFARI_ZONE_SOUTHEAST,land_mons,SPINARAK
088,Teiuzim,normal,282,MAP_ROUTE101,land_mons,ZUBAT
090,Camaleão,normal/psychic,448,MAP_SAFARI_ZONE_SOUTH,land_mons,LAIRON
090,Camaleão,normal/psychic,448,MAP_SAFARI_ZONE_SOUTHWEST,land_mons,SMOOCHUM
094,Piuiuim,flying,283,MAP_ROUTE116,land_mons,MAGIKARP
094,Piuiuim,flying,283,MAP_PETALBURG_WOODS,land_mons,ZUBAT
096,Colhereiro,flying/fairy,449,MAP_ROUTE110,land_mons,KRABBY
096,Colhereiro,flying/fairy,449,MAP_CAVE_OF_ORIGIN_1F,land_mons,FEEBAS
100,Corcovado,rock/dragon,604,MAP_SKY_PILLAR_1F,land_mons,AZURILL
100,Corcovado,rock/dragon,604,MAP_SKY_PILLAR_1F,land_mons,AZURILL
103,Suçuapara,normal/fighting,447,MAP_ROUTE119,land_mons,DRAGONITE
103,Suçuapara,normal/fighting,447,MAP_SAFARI_ZONE_NORTH,land_mons,IGGLYBUFF
108,Iemanjá,water/fairy,604,MAP_NEW_MAUVILLE_INSIDE,land_mons,VOLTORB
108,Iemanjá,water/fairy,604,MAP_NEW_MAUVILLE_INSIDE,land_mons,VOLTORB
111,Cavalim,normal,284,MAP_ROUTE101,land_mons,HOPPIP
111,Cavalim,normal,284,MAP_ROUTE101,land_mons,GRIMER
113,Zebuim,normal,283,MAP_ROUTE102,land_mons,ZUBAT
113,Zebuim,normal,283,MAP_ROUTE102,land_mons,VENOMOTH
115,Ovelhinha,normal/fairy,449,MAP_CAVE_OF_ORIGIN_1F,land_mons,FEEBAS
115,Ovelhinha,normal/fairy,449,MAP_CAVE_OF_ORIGIN_1F,land_mons,FEEBAS
116,Cabrita,normal/rock,445,MAP_PETALBURG_WOODS,land_mons,CLEFFA
116,Cabrita,normal/rock,445,MAP_METEOR_FALLS_B1F_2R,land_mons,SHARPEDO
120,Jararaca,poison/grass,448,MAP_ROUTE120,land_mons,NOSEPASS
120,Jararaca,poison/grass,448,MAP_ROUTE123,land_mons,NOSEPASS
128,Traíra,water/dark,447,MAP_ROUTE103,fishing_mons,OCTILLERY
128,Traíra,water/dark,447,MAP_ROUTE103,fishing_mons,OCTILLERY
129,Dourado,water/fighting,449,MAP_ROUTE117,land_mons,KADABRA
129,Dourado,water/fighting,449,MAP_ROUTE117,land_mons,KADABRA
131,Pacu,water/grass,448,MAP_MT_PYRE_SUMMIT,land_mons,MANECTRIC
131,Pacu,water/grass,448,MAP_ROUTE117,land_mons,KADABRA
132,Matrinxã,water/normal,444,MAP_ROUTE114,land_mons,WINGULL
132,Matrinxã,water/normal,444,MAP_ROUTE118,fishing_mons,URSARING
134,Cascudo,water/rock,448,MAP_ROUTE117,land_mons,MIGHTYENA
134,Cascudo,water/rock,448,MAP_ROUTE117,land_mons,MIGHTYENA
135,Acará,water/psychic,445,MAP_ROUTE103,fishing_mons,URSARING
135,Acará,water/psychic,445,MAP_ROUTE105,fishing_mons,URSARING
136,Vagalumim,bug/electric,285,MAP_ROUTE104,land_mons,GLIGAR
136,Vagalumim,bug/electric,285,MAP_SHOAL_CAVE_LOW_TIDE_ICE_ROOM,land_mons,LICKITUNG
140,Louvadinha,bug,287,MAP_SHOAL_CAVE_LOW_TIDE_ICE_ROOM,land_mons,MAGCARGO
140,Louvadinha,bug,287,MAP_SHOAL_CAVE_LOW_TIDE_ICE_ROOM,land_mons,LICKITUNG
142,Escorpim,poison,286,MAP_GRANITE_CAVE_1F,land_mons,LICKITUNG
142,Escorpim,poison,286,MAP_GRANITE_CAVE_1F,land_mons,SNEASEL
144,Caramulão,bug/water,446,MAP_SAFARI_ZONE_NORTHEAST,land_mons,SEEDOT
144,Caramulão,bug/water,446,MAP_SAFARI_ZONE_NORTHEAST,land_mons,CLEFABLE
145,Piolhão,bug/poison,448,MAP_SAFARI_ZONE_SOUTHWEST,land_mons,LAIRON
145,Piolhão,bug/poison,448,MAP_SAFARI_ZONE_SOUTHWEST,land_mons,LAIRON
149,Aranhão,bug/poison,445,MAP_SAFARI_ZONE_SOUTH,land_mons,PORYGON
149,Aranhão,bug/poison,445,MAP_FIERY_PATH,land_mons,NUMEL
150,Vespão,bug/flying,447,MAP_SAFARI_ZONE_NORTHWEST,land_mons,IGGLYBUFF
150,Vespão,bug/flying,447,MAP_SAFARI_ZONE_SOUTHEAST,land_mons,CAMERUPT
152,Traça,bug/normal,446,MAP_SAFARI_ZONE_SOUTHWEST,land_mons,MIGHTYENA
152,Traça,bug/normal,446,MAP_SAFARI_ZONE_NORTH,land_mons,TOGETIC
