id,name,engine_species,types,ability1,ability2,hidden_ability,egg_group1,egg_group2,gender_ratio,egg_cycles,growth_rate,catch_rate,exp_yield,egg_move_learnset,source_abilities
001,Caramelo,SPECIES_TORCHIC,fire,ABILITY_BLAZE,ABILITY_KEEN_EYE,ABILITY_FLASH_FIRE,EGG_GROUP_FIELD,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_SLOW,45,108,sArauna001EggMoveLearnset,Chama / Faro Fiel
002,Caramelão,SPECIES_COMBUSKEN,fire,ABILITY_BLAZE,ABILITY_INTIMIDATE,ABILITY_FLASH_FIRE,EGG_GROUP_FIELD,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_SLOW,45,142,sArauna002EggMoveLearnset,Chama / Intimidação
003,Draguará,SPECIES_BLAZIKEN,fire/dragon,ABILITY_BLAZE,ABILITY_INTIMIDATE,ABILITY_MULTISCALE,EGG_GROUP_FIELD,EGG_GROUP_DRAGON,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_SLOW,45,198,sArauna003EggMoveLearnset,Chama / Escama Dracônica
004,Querô,SPECIES_MUDKIP,water,ABILITY_TORRENT,ABILITY_KEEN_EYE,ABILITY_ANTICIPATION,EGG_GROUP_WATER_1,EGG_GROUP_WATER_1,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_SLOW,45,113,sArauna004EggMoveLearnset,Torrente / Alerta
005,Queribela,SPECIES_MARSHTOMP,water/bug,ABILITY_TORRENT,ABILITY_COMPOUND_EYES,ABILITY_SWARM,EGG_GROUP_WATER_1,EGG_GROUP_BUG,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_SLOW,45,145,sArauna005EggMoveLearnset,Torrente / Olho Composto
006,Terolibra,SPECIES_SWAMPERT,water/bug,ABILITY_TORRENT,ABILITY_SWARM,ABILITY_TINTED_LENS,EGG_GROUP_WATER_1,EGG_GROUP_BUG,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_SLOW,45,198,sArauna006EggMoveLearnset,Torrente / Enxame
007,Pimpau,SPECIES_TREECKO,grass,ABILITY_OVERGROW,ABILITY_OWN_TEMPO,ABILITY_SKILL_LINK,EGG_GROUP_GRASS,EGG_GROUP_GRASS,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_SLOW,45,111,sArauna007EggMoveLearnset,Espessura / Ritmo
008,Bicopau,SPECIES_GROVYLE,grass,ABILITY_OVERGROW,ABILITY_DEFIANT,ABILITY_KEEN_EYE,EGG_GROUP_GRASS,EGG_GROUP_GRASS,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_SLOW,45,144,sArauna008EggMoveLearnset,Espessura / Determinação
009,Petropico,SPECIES_SCEPTILE,grass/rock,ABILITY_OVERGROW,ABILITY_ROCK_HEAD,ABILITY_STURDY,EGG_GROUP_GRASS,EGG_GROUP_MINERAL,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_SLOW,45,191,sArauna009EggMoveLearnset,Espessura / Corpo Rochoso
010,Formilim,SPECIES_BULBASAUR,bug,ABILITY_SWARM,ABILITY_COMPOUND_EYES,ABILITY_QUICK_FEET,EGG_GROUP_BUG,EGG_GROUP_BUG,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,83,sArauna010EggMoveLearnset,Enxame
011,Saúvarco,SPECIES_IVYSAUR,bug/ground,ABILITY_SWARM,ABILITY_ARENA_TRAP,ABILITY_SHEER_FORCE,EGG_GROUP_BUG,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,90,158,sArauna011EggMoveLearnset,Enxame / Escavador
012,Capivim,SPECIES_VENUSAUR,water/normal,ABILITY_TORRENT,ABILITY_PICKUP,ABILITY_REGENERATOR,EGG_GROUP_WATER_1,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,120,sArauna012EggMoveLearnset,Corpo Molhado / Placidez
013,Tucanhão,SPECIES_CHARMANDER,flying/grass,ABILITY_KEEN_EYE,ABILITY_CHLOROPHYLL,ABILITY_QUICK_FEET,EGG_GROUP_FLYING,EGG_GROUP_GRASS,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,146,sArauna013EggMoveLearnset,Vista Aguçada / Colheita
014,Sagüim,SPECIES_CHARMELEON,normal,ABILITY_RUN_AWAY,ABILITY_PICKUP,ABILITY_QUICK_FEET,EGG_GROUP_FIELD,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,103,sArauna014EggMoveLearnset,Fura-mão / Corredor
015,Micuiras,SPECIES_CHARIZARD,normal/psychic,ABILITY_RUN_AWAY,ABILITY_TELEPATHY,ABILITY_COMPETITIVE,EGG_GROUP_FIELD,EGG_GROUP_AMORPHOUS,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,90,156,sArauna015EggMoveLearnset,Sincronia / Presságio
016,Boitatá,SPECIES_SQUIRTLE,fire/ghost,ABILITY_BLAZE,ABILITY_CURSED_BODY,ABILITY_COMPETITIVE,EGG_GROUP_FIELD,EGG_GROUP_AMORPHOUS,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,90,171,sArauna016EggMoveLearnset,Corpo Flamejante / Levitação
017,Curupim,SPECIES_WARTORTLE,grass/fairy,ABILITY_OVERGROW,ABILITY_MAGIC_GUARD,ABILITY_QUICK_FEET,EGG_GROUP_GRASS,EGG_GROUP_FAIRY,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,148,sArauna017EggMoveLearnset,Véu Vegetal / Brincalhão
018,Curupira,SPECIES_BLASTOISE,grass/fairy,ABILITY_OVERGROW,ABILITY_MAGIC_GUARD,ABILITY_QUICK_FEET,EGG_GROUP_GRASS,EGG_GROUP_FAIRY,PERCENT_FEMALE(50),40,GROWTH_SLOW,45,201,sArauna018EggMoveLearnset,Véu Vegetal / Alma Antiga
019,Iaraço,SPECIES_CATERPIE,water/fairy,ABILITY_TORRENT,ABILITY_MAGIC_GUARD,ABILITY_COMPETITIVE,EGG_GROUP_WATER_1,EGG_GROUP_FAIRY,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,90,183,sArauna019EggMoveLearnset,Encanto / Corpo Molhado
020,Sacizinho,SPECIES_METAPOD,dark/flying,ABILITY_INTIMIDATE,ABILITY_BIG_PECKS,ABILITY_QUICK_FEET,EGG_GROUP_FIELD,EGG_GROUP_FLYING,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,154,sArauna020EggMoveLearnset,Vento Veloz / Travessura
021,Cactula,SPECIES_BUTTERFREE,grass/poison,ABILITY_OVERGROW,ABILITY_LIQUID_OOZE,ABILITY_BATTLE_ARMOR,EGG_GROUP_GRASS,EGG_GROUP_AMORPHOUS,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,127,sArauna021EggMoveLearnset,Corpo Seco / Ponto Cego
022,Muriçoco,SPECIES_WEEDLE,bug/poison,ABILITY_SWARM,ABILITY_LIQUID_OOZE,ABILITY_QUICK_FEET,EGG_GROUP_BUG,EGG_GROUP_AMORPHOUS,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,96,sArauna022EggMoveLearnset,Enxame / Ponto Cego
