hoenn_name,arauna_name,mentions,source
ARCHIE,OTACILIO,0,renamed in trainers.h by the story work
BRAWLY,ADEMAR,0,renamed in trainers.h by the story work
BRENDAN,CIRO,0,renamed in trainers.h by the story work
FLANNERY,NARA,0,renamed in trainers.h by the story work
JUAN,CELINA,0,renamed in trainers.h by the story work
LIZA,CAETANO,0,renamed in trainers.h by the story work
MATT,BRENO,0,renamed in trainers.h by the story work
MAXIE,LUZIA,0,renamed in trainers.h by the story work
MAY,CIRO,0,renamed in trainers.h by the story work
NORMAN,ELIAS,0,renamed in trainers.h by the story work
ROXANNE,DALVA,0,renamed in trainers.h by the story work
SHELLY,MARTA,0,renamed in trainers.h by the story work
STEVEN,BENTO,0,renamed in trainers.h by the story work
TABITHA,RAUL,0,renamed in trainers.h by the story work
TATE,CECILIA,0,renamed in trainers.h by the story work
WALLACE,AMALIA,0,renamed in trainers.h by the story work
WALLY,VAL,0,renamed in trainers.h by the story work
WATTSON,OLIVIA,0,renamed in trainers.h by the story work
WINONA,LIDIA,0,renamed in trainers.h by the story work
RYDEL,ZEFERINO,59,renamed in text by build_remaining_names.py
SCOTT,BENTO,35,renamed in text by build_remaining_names.py
CAPT. STERN,NUNES,32,renamed in text by build_remaining_names.py
MR. BRINEY,HONORIO,31,renamed in text by build_remaining_names.py
PEEKO,PEROLA,21,renamed in text by build_remaining_names.py
MR. STONE,AMARAL,18,renamed in text by build_remaining_names.py
LANETTE,LENITA,10,renamed in text by build_remaining_names.py
COZMO,SALUSTIO,10,renamed in text by build_remaining_names.py
WINSTRATE,QUEIROZ,4,renamed in text by build_remaining_names.py
BILL,ELCIO,1,renamed in text by build_remaining_names.py
SIDNEY,LAZARO,2,renamed by render_arauna_league_en_checked.py
PHOEBE,ROSA,3,renamed by render_arauna_league_en_checked.py
GLACIA,CLARA,3,renamed by render_arauna_league_en_checked.py
DRAKE,TIBURCIO,2,renamed by render_arauna_league_en_checked.py
