arauna_dex,name,type,weight_hg,donor,key
010,Formilim,bug,24,CATERPIE,61
011,Saúvarco,bug,420,YANMA,59
012,Capivim,water,220,LANTURN,60
013,Tucanhão,flying,180,ILLUMISE,60
014,Sagüim,normal,15,TOGEPI,60
015,Micuiras,normal,120,WIGGLYTUFF,60
016,Boitatá,fire,5,TORCHIC,69
017,Curupim,grass,80,SUNFLORA,60
018,Curupira,grass,220,GROVYLE,60
019,Iaraço,water,450,TENTACOOL,60
020,Sacizinho,dark,50,HOUNDOUR,64
021,Cactula,grass,60,BELLOSSOM,60
022,Muriçoco,bug,4,SHEDINJA,66
023,Onçaléu,dark,780,ABSOL,57
024,Tamanduá,ground,550,GLIGAR,61
025,Botim,water,395,SEAKING,60
026,Botão,water,410,SEAKING,61
027,Botogaláu,water,425,TENTACOOL,61
028,Tatuim,ground,440,MAROWAK,60
029,Tatubola,ground,455,MAROWAK,61
030,Tatuçu,ground,470,MAROWAK,62
031,Ararinha,flying,485,GARDEVOIR,60
032,Arará,flying,500,HITMONCHAN,60
033,Araracanga,flying,515,CACNEA,60
034,Jacarim,water,530,CLAMPERL,60
035,Jacarão,water,545,LUDICOLO,60
036,Jacarodon,water,560,LUDICOLO,61
037,Preguicim,grass,575,SHIFTRY,60
038,Preguicão,grass,590,SHIFTRY,61
039,Bicho-Preguiça,grass,605,SHIFTRY,59
040,Papaguim,flying,620,NIDOKING,60
041,Papagaio,flying,635,GLIGAR,60
042,Papagaião,flying,650,ARBOK,60
043,Antinha,normal,665,LICKITUNG,60
044,Anta,normal,680,LICKITUNG,61
045,Antaraú,normal,695,STANTLER,60
046,Sucurim,water,710,QUAGSIRE,60
047,Sucuri,water,960,SEEL,60
048,Boiuna,water,3800,WAILORD,60
049,Borbolim,bug,755,SCYTHER,58
050,Casulete,bug,770,SCYTHER,59
051,Morphália,bug,785,SCYTHER,57
052,Guaracim,fire,800,TORKOAL,60
053,Guará,fire,815,TORKOAL,61
054,Guaraflama,fire,830,TORKOAL,59
055,Peixim,water,845,BLASTOISE,60
056,Peixeboi,water,860,BLASTOISE,61
057,Mãe-d'Água,water,875,FERALIGATR,60
058,Mandim,water,890,FERALIGATR,61
059,Mandí,water,905,SEEL,61
060,Mandubé,water,20,BARBOACH,60
061,Preguim,normal,35,RATTATA,60
062,Prego,fighting,50,MEDITITE,65
063,Pregarcanjo,fighting,65,MEDITITE,63
064,Aranin,bug,80,SPINARAK,60
065,Caraninha,bug,95,METAPOD,60
066,Caranga,bug,110,LEDYBA,60
067,Gatim,normal,125,WIGGLYTUFF,61
068,Gato-do-mato,normal,140,DUNSPARCE,60
069,Jaguatirica,dark,155,POOCHYENA,59
070,Cutim,normal,170,ZIGZAGOON,60
071,Cutia,normal,185,RATICATE,60
072,Paca,normal,200,SWELLOW,60
073,Formigão,bug,215,SHUCKLE,60
074,Marimbondo,bug,230,SHUCKLE,59
075,Abelhinha,bug,245,BEAUTIFLY,61
076,Quatim,normal,260,SLAKOTH,60
077,Quati,normal,275,PIDGEOTTO,61
078,Coati,dark,290,SNEASEL,60
079,Gambá,poison,305,GRIMER,60
080,Cangambá,poison,320,GRIMER,63
081,Sarué,poison,335,GRIMER,59
082,Tuquinho,flying,350,HOUNDOOM,60
083,Aracari,flying,365,PORYGON,60
084,Curicaca,flying,380,FEAROW,60
085,Sapim,water,395,SEAKING,59
086,Sapão,water,410,SEAKING,62
087,Cururu,poison,425,SEVIPER,61
088,Teiuzim,normal,440,VIGOROTH,60
089,Teiú,normal,455,VIGOROTH,61
090,Camaleão,normal,470,BLISSEY,60
091,Morcim,flying,485,GARDEVOIR,61
092,Morcego,flying,500,HITMONCHAN,61
093,Vampiro,flying,515,CACNEA,61
094,Piuiuim,flying,530,ZAPDOS,60
095,Tuiuiú,flying,545,MR_MIME,60
096,Colhereiro,flying,560,SCYTHER,60
097,Mulinha,normal,575,SMEARGLE,60
098,Mula,normal,590,SMEARGLE,61
099,Mula-sem-Cabeça,fire,605,MOLTRES,60
100,Corcovado,rock,620,CRADILY,60
101,Cerválo,normal,635,LICKITUNG,59
102,Catingueiro,normal,650,LICKITUNG,62
103,Suçuapara,normal,665,LICKITUNG,58
104,Cabocim,water,680,QUAGSIRE,61
105,Caboclo,water,695,QUAGSIRE,61
106,Cangaço,dark,710,ABSOL,58
107,Xangô,electric,725,ELECTRODE,60
108,Iemanjá,water,740,QUAGSIRE,59
109,Oxum,water,755,QUAGSIRE,62
110,Ogum,steel,770,BELDUM,61
111,Cavalim,normal,785,KANGASKHAN,60
112,Cavalgado,normal,800,KANGASKHAN,61
113,Zebuim,normal,815,KANGASKHAN,59
114,Zebu,normal,830,EXPLOUD,60
115,Ovelhinha,normal,845,EXPLOUD,61
116,Cabrita,normal,860,DODRIO,60
117,Chocalhão,poison,875,SWALOT,59
118,Cascavelim,poison,890,SWALOT,60
119,Cascavão,poison,905,SWALOT,58
120,Jararaca,poison,20,KOFFING,56
121,Pirarim,water,35,QWILFISH,61
122,Pirarucu,water,50,CORSOLA,60
123,Piranha,water,65,KRABBY,60
124,Tambaqui,water,80,HORSEA,60
125,Aruanã,water,95,TOTODILE,60
126,Poraquê,electric,110,VOLTORB,60
127,Curimbatá,water,125,POLIWAG,60
128,Traíra,water,140,GOLDEEN,60
129,Dourado,water,155,GOLDEEN,61
130,Tucunaré,water,170,GOLDEEN,59
131,Pacu,water,185,PSYDUCK,60
132,Matrinxã,water,200,POLIWHIRL,60
133,Piau,water,215,CARVANHA,60
134,Cascudo,water,230,RELICANTH,60
135,Acará,water,245,CROCONAW,60
136,Vagalumim,bug,260,BEAUTIFLY,62
137,Vagalume,bug,275,BEAUTIFLY,60
138,Cigarrinho,bug,290,BEEDRILL,60
139,Cigarrão,bug,305,VENONAT,60
140,Louvadinha,bug,320,BUTTERFREE,60
141,Louvadeus,bug,335,ARIADOS,60
142,Escorpim,poison,350,GRIMER,60
143,Escorpião,poison,365,GRIMER,58
144,Caramulão,bug,380,YANMA,60
145,Piolhão,bug,395,YANMA,63
146,Barata,bug,410,YANMA,64
147,Grilim,bug,425,YANMA,60
148,Grilão,bug,440,YANMA,58
149,Aranhão,bug,455,HERACROSS,61
150,Vespão,bug,470,HERACROSS,64
151,Marimbondão,bug,485,HERACROSS,65
152,Traça,bug,500,HERACROSS,60
153,Corupião,bug,515,HERACROSS,61
154,Cupinzim,bug,530,HERACROSS,59
155,Formigão-Preto,bug,545,PINSIR,60
156,Beija-flor,flying,560,SCYTHER,62
157,Sabiá,flying,575,SMEARGLE,59
158,Bem-te-vi,flying,590,AERODACTYL,60
159,Urutau,flying,605,CRADILY,61
160,Carcará,flying,620,NIDOKING,61
161,Gavião,flying,635,GLIGAR,61
162,Urubu,flying,650,ARBOK,61
163,Corurupim,flying,665,ELECTRODE,61
164,Coruja,flying,680,ARMALDO,60
165,Jaburu,flying,695,MACHOKE,60
166,Ema,normal,710,STANTLER,61
167,Seriema,flying,725,LARVITAR,60
168,Anú,flying,740,CROBAT,60
169,Trinca-Ferro,flying,755,MILTANK,60
170,Curió,flying,770,CACTURNE,60
171,Sanhaço,flying,785,SLOWBRO,60
172,Papa-Formiga,flying,800,KANGASKHAN,62
173,Choca,flying,815,SWAMPERT,60
174,Bacurau,flying,830,EXPLOUD,59
175,João-de-Barro,flying,845,EXPLOUD,62
176,Sementim,grass,860,CACTURNE,59
177,Muda,grass,875,CACTURNE,60
178,Jequitibá,grass,890,TROPIUS,61
179,Bromelinha,grass,905,TROPIUS,62
180,Orquidina,grass,20,ROSELIA,60
181,Vitóriarégia,grass,35,BELLSPROUT,61
182,Ipê,grass,50,TREECKO,60
183,Cipó,grass,65,CHIKORITA,60
184,Palmito,grass,80,SUNFLORA,61
185,Babaçu,grass,95,GLOOM,59
186,Buriti,grass,110,IVYSAUR,61
187,Cajuzim,grass,125,IVYSAUR,60
188,Cajueiro,grass,140,IVYSAUR,61
189,Açaí,grass,155,VICTREEBEL,60
190,Cacauim,grass,170,BAYLEEF,60
191,Cacaueiro,grass,185,VILEPLUME,60
192,Guaraná,grass,200,VILEPLUME,61
193,Mate,grass,215,GROVYLE,61
194,Milho,grass,230,GROVYLE,62
195,Mandioca,grass,245,GROVYLE,59
196,Pedrinha,rock,260,LILEEP,59
197,Rochão,rock,275,LILEEP,60
198,Cristalim,rock,290,OMASTAR,61
199,Ametista,rock,305,OMASTAR,62
200,Ouríço,steel,320,SKARMORY,63
201,Ferrolho,steel,335,SKARMORY,62
202,Diamantina,rock,350,OMASTAR,60
203,Bauxito,steel,365,SKARMORY,63
204,Manganim,steel,380,SKARMORY,64
205,Salitre,rock,395,KABUTOPS,60
206,Enxofrino,fire,410,MAGMAR,60
207,Argilim,ground,425,MAROWAK,58
208,Boneco,ground,440,MAROWAK,63
209,Estalactite,rock,455,KABUTOPS,59
210,Estalagmite,rock,470,KABUTOPS,60
211,Fóssil,rock,485,KABUTOPS,58
212,Meteorito,rock,500,AERODACTYL,61
213,Vulcanite,fire,515,BLAZIKEN,60
214,Marmim,rock,530,AERODACTYL,63
215,Granito,rock,545,AERODACTYL,61
216,Caranguim,water,560,LUDICOLO,59
217,Guaiamum,water,575,KINGLER,60
218,Siri,water,590,KINGLER,62
219,Camarão,water,605,KINGLER,63
220,Polvim,water,620,KINGLER,57
221,Polvão,water,635,KINGLER,64
222,Águaviva,water,650,KINGLER,56
223,Cavalim-Marinho,water,665,KINGLER,59
224,Tartaruguim,water,680,QUAGSIRE,71
225,Tartaruga,water,695,QUAGSIRE,58
226,Golfinho,water,710,QUAGSIRE,63
227,Baleia,water,725,QUAGSIRE,57
228,Tubarim,water,740,QUAGSIRE,64
229,Tubarão,water,755,QUAGSIRE,56
230,Arraia,water,770,GOLDUCK,60
231,Peixe-Espada,water,785,SLOWBRO,61
232,Pargo,water,800,STARMIE,60
233,Pescadão,water,815,SWAMPERT,61
234,Loirinha,ghost,830,GENGAR,56
235,Cuca,dark,845,ABSOL,59
236,Bicho-Papão,dark,860,ABSOL,60
237,Lobisomem,dark,875,ABSOL,56
238,Corpo-Seco,ghost,890,GENGAR,55
239,Mão-Peluda,ghost,905,GENGAR,56
240,Perna-Cabeluda,ghost,20,SHUPPET,61
241,Comadre,ghost,35,SHUPPET,58
242,Anhangá,ghost,50,SHUPPET,56
243,Jurupari,dark,65,HOUNDOUR,63
244,Tupã,electric,80,MAREEP,60
245,Jaci,fairy,95,TOTODILE,61
246,Guaraci,fire,110,VULPIX,59
247,Rudá,fairy,125,ANORITH,60
248,Aluá,water,140,GOLDEEN,62
249,Jenipapo,dark,155,POOCHYENA,60
250,Urucum,fire,170,CHARMELEON,61
251,Caipora,grass,185,VILEPLUME,59
252,Anhangá-Pitã,ghost,200,DUSKULL,58
253,Yara-Pindá,water,215,CARVANHA,61
254,Pisadeira,ghost,230,DUSCLOPS,62
255,Zumbi,ghost,245,DUSCLOPS,61
256,Iemanjá-Pequena,water,260,HUNTAIL,60
257,Ossanha,grass,275,NUZLEAF,60
258,Oxalá,normal,290,PIDGEOTTO,60
259,Saciamigo,dark,305,SNEASEL,61
260,Sacipererê,dark,320,HOUNDOOM,61
352,Periquitão,grass,40,BELLSPROUT,60
315,Bituca,fire,245,FLAREON,60
324,Concretim,rock,380,SUDOWOODO,60
309,Poeirão,ground,155,VIBRAVA,60
310,Ferrugem,steel,170,MAWILE,58
355,Capivarão,normal,680,LICKITUNG,63
380,Selenê,dark,1700,ABSOL,53
360,Preguiçoso,grass,100,GLOOM,60
