id,name,engine_species,cry_id,family_root,family_stage,status,asset
001,Caramelo,SPECIES_TORCHIC,CRY_TORCHIC,001,0,arauna-custom-synth,sound/direct_sound_samples/cries/torchic.wav
002,Caramelão,SPECIES_COMBUSKEN,CRY_COMBUSKEN,001,1,arauna-custom-synth,sound/direct_sound_samples/cries/combusken.wav
003,Draguará,SPECIES_BLAZIKEN,CRY_BLAZIKEN,001,2,arauna-custom-synth,sound/direct_sound_samples/cries/blaziken.wav
004,Querô,SPECIES_MUDKIP,CRY_MUDKIP,004,0,arauna-custom-synth,sound/direct_sound_samples/cries/mudkip.wav
005,Queribela,SPECIES_MARSHTOMP,CRY_MARSHTOMP,004,1,arauna-custom-synth,sound/direct_sound_samples/cries/marshtomp.wav
006,Terolibra,SPECIES_SWAMPERT,CRY_SWAMPERT,004,2,arauna-custom-synth,sound/direct_sound_samples/cries/swampert.wav
007,Pimpau,SPECIES_TREECKO,CRY_TREECKO,007,0,arauna-custom-synth,sound/direct_sound_samples/cries/treecko.wav
008,Bicopau,SPECIES_GROVYLE,CRY_GROVYLE,007,1,arauna-custom-synth,sound/direct_sound_samples/cries/grovyle.wav
009,Petropico,SPECIES_SCEPTILE,CRY_SCEPTILE,007,2,arauna-custom-synth,sound/direct_sound_samples/cries/sceptile.wav
010,Formilim,SPECIES_BULBASAUR,CRY_BULBASAUR,010,0,arauna-custom-synth,sound/direct_sound_samples/cries/bulbasaur.wav
011,Saúvarco,SPECIES_IVYSAUR,CRY_IVYSAUR,010,1,arauna-custom-synth,sound/direct_sound_samples/cries/ivysaur.wav
012,Capivim,SPECIES_VENUSAUR,CRY_VENUSAUR,012,0,arauna-custom-synth,sound/direct_sound_samples/cries/venusaur.wav
013,Tucanhão,SPECIES_CHARMANDER,CRY_CHARMANDER,013,0,arauna-custom-synth,sound/direct_sound_samples/cries/charmander.wav
014,Sagüim,SPECIES_CHARMELEON,CRY_CHARMELEON,014,0,arauna-custom-synth,sound/direct_sound_samples/cries/charmeleon.wav
015,Micuiras,SPECIES_CHARIZARD,CRY_CHARIZARD,014,1,arauna-custom-synth,sound/direct_sound_samples/cries/charizard.wav
016,Boitatá,SPECIES_SQUIRTLE,CRY_SQUIRTLE,016,0,arauna-custom-synth,sound/direct_sound_samples/cries/squirtle.wav
017,Curupim,SPECIES_WARTORTLE,CRY_WARTORTLE,017,0,arauna-custom-synth,sound/direct_sound_samples/cries/wartortle.wav
018,Curupira,SPECIES_BLASTOISE,CRY_BLASTOISE,017,1,arauna-custom-synth,sound/direct_sound_samples/cries/blastoise.wav
019,Iaraço,SPECIES_CATERPIE,CRY_CATERPIE,019,0,arauna-custom-synth,sound/direct_sound_samples/cries/caterpie.wav
020,Sacizinho,SPECIES_METAPOD,CRY_METAPOD,020,0,arauna-custom-synth,sound/direct_sound_samples/cries/metapod.wav
021,Cactula,SPECIES_BUTTERFREE,CRY_BUTTERFREE,021,0,arauna-custom-synth,sound/direct_sound_samples/cries/butterfree.wav
022,Muriçoco,SPECIES_WEEDLE,CRY_WEEDLE,022,0,arauna-custom-synth,sound/direct_sound_samples/cries/weedle.wav
023,Onçaléu,SPECIES_KAKUNA,CRY_KAKUNA,023,0,arauna-custom-synth,sound/direct_sound_samples/cries/kakuna.wav
024,Tamanduá,SPECIES_BEEDRILL,CRY_BEEDRILL,024,0,arauna-custom-synth,sound/direct_sound_samples/cries/beedrill.wav
025,Botim,SPECIES_PIDGEY,CRY_PIDGEY,025,0,arauna-custom-synth,sound/direct_sound_samples/cries/pidgey.wav
026,Botão,SPECIES_PIDGEOTTO,CRY_PIDGEOTTO,025,1,arauna-custom-synth,sound/direct_sound_samples/cries/pidgeotto.wav
