arauna_dex,full_name,engine_name,species_constant,national_slot,graphics_folder,types,production_method
001,Caramelo,Caramelo,SPECIES_TORCHIC,NATIONAL_DEX_BULBASAUR,torchic,fire,hand-prepared-approved
002,Caramelão,Caramelão,SPECIES_COMBUSKEN,NATIONAL_DEX_IVYSAUR,combusken,fire,hand-prepared-approved
003,Draguará,Draguará,SPECIES_BLAZIKEN,NATIONAL_DEX_VENUSAUR,blaziken,fire/dragon,hand-prepared-approved
004,Querô,Querô,SPECIES_MUDKIP,NATIONAL_DEX_CHARMANDER,mudkip,water,hand-prepared-approved
005,Queribela,Queribela,SPECIES_MARSHTOMP,NATIONAL_DEX_CHARMELEON,marshtomp,water/bug,hand-prepared-approved
006,Terolibra,Terolibra,SPECIES_SWAMPERT,NATIONAL_DEX_CHARIZARD,swampert,water/bug,hand-prepared-approved
007,Pimpau,Pimpau,SPECIES_TREECKO,NATIONAL_DEX_SQUIRTLE,treecko,grass,hand-prepared-approved
008,Bicopau,Bicopau,SPECIES_GROVYLE,NATIONAL_DEX_WARTORTLE,grovyle,grass,hand-prepared-approved
009,Petropico,Petropico,SPECIES_SCEPTILE,NATIONAL_DEX_BLASTOISE,sceptile,grass/rock,hand-prepared-approved
010,Formilim,Formilim,SPECIES_BULBASAUR,NATIONAL_DEX_CATERPIE,bulbasaur,bug,reference-front-plus-reconstructed-back
011,Saúvarco,Saúvarco,SPECIES_IVYSAUR,NATIONAL_DEX_METAPOD,ivysaur,bug/ground,reference-front-plus-reconstructed-back
012,Capivim,Capivim,SPECIES_VENUSAUR,NATIONAL_DEX_BUTTERFREE,venusaur,water/normal,reference-front-plus-reconstructed-back
013,Tucanhão,Tucanhão,SPECIES_CHARMANDER,NATIONAL_DEX_WEEDLE,charmander,flying/grass,reference-front-plus-reconstructed-back
014,Sagüim,Sagüim,SPECIES_CHARMELEON,NATIONAL_DEX_KAKUNA,charmeleon,normal,reference-front-plus-reconstructed-back
015,Micuiras,Micuiras,SPECIES_CHARIZARD,NATIONAL_DEX_BEEDRILL,charizard,normal/psychic,reference-front-plus-reconstructed-back
016,Boitatá,Boitatá,SPECIES_SQUIRTLE,NATIONAL_DEX_PIDGEY,squirtle,fire/ghost,reference-front-plus-reconstructed-back
017,Curupim,Curupim,SPECIES_WARTORTLE,NATIONAL_DEX_PIDGEOTTO,wartortle,grass/fairy,reference-front-plus-reconstructed-back
018,Curupira,Curupira,SPECIES_BLASTOISE,NATIONAL_DEX_PIDGEOT,blastoise,grass/fairy,reference-front-plus-reconstructed-back
019,Iaraço,Iaraço,SPECIES_CATERPIE,NATIONAL_DEX_RATTATA,caterpie,water/fairy,reference-front-plus-reconstructed-back
020,Sacizinho,Sacizinho,SPECIES_METAPOD,NATIONAL_DEX_RATICATE,metapod,dark/flying,reference-front-plus-reconstructed-back
021,Cactula,Cactula,SPECIES_BUTTERFREE,NATIONAL_DEX_SPEAROW,butterfree,grass/poison,reference-front-plus-reconstructed-back
022,Muriçoco,Muriçoco,SPECIES_WEEDLE,NATIONAL_DEX_FEAROW,weedle,bug/poison,reference-front-plus-reconstructed-back
