id,name,species,types,source_region,biome,availability,tier,stage,evolution_level,bst,methods
001,Caramelo,SPECIES_TORCHIC,fire,Periferia de Arauana,urban,starter,starter,base,0,325,land
002,Caramelão,SPECIES_COMBUSKEN,fire,Periferia de Arauana,urban,starter,starter,middle,17,425,land
003,Draguará,SPECIES_BLAZIKEN,fire/dragon,Serra de Arauana,highlands,starter,starter,final,36,595,land
004,Querô,SPECIES_MUDKIP,water,Pampas de Arauana,pampas,starter,starter,base,0,340,fishing/land/water
005,Queribela,SPECIES_MARSHTOMP,water/bug,Banhados de Arauana,wetlands,starter,starter,middle,17,434,fishing/water
006,Terolibra,SPECIES_SWAMPERT,water/bug,Banhados de Arauana,wetlands,starter,starter,final,36,595,fishing/water
007,Pimpau,SPECIES_TREECKO,grass,Cerrado de Arauana,cerrado,starter,starter,base,0,332,land
008,Bicopau,SPECIES_GROVYLE,grass,Cerrado de Arauana,cerrado,starter,starter,middle,17,432,land
009,Petropico,SPECIES_SCEPTILE,grass/rock,Chapadas de Arauana,chapadas,starter,starter,final,36,574,land/rock_smash
010,Formilim,SPECIES_BULBASAUR,bug,Cerrado de Arauana,cerrado,wild,early,base,0,248,land
011,Saúvarco,SPECIES_IVYSAUR,bug/ground,Cerrado de Arauana,cerrado,wild,mid,final,15,473,land/rock_smash
012,Capivim,SPECIES_VENUSAUR,water/normal,Rios de Arauana,rivers,wild,early,standalone,0,360,fishing/land/water
013,Tucanhão,SPECIES_CHARMANDER,flying/grass,Mata Atlântica de Arauana,atlantic_forest,wild,mid,standalone,0,437,land
014,Sagüim,SPECIES_CHARMELEON,normal,Mata Atlântica de Arauana,atlantic_forest,wild,early,base,0,308,land
015,Micuiras,SPECIES_CHARIZARD,normal/psychic,Mata Atlântica de Arauana,atlantic_forest,wild,mid,final,22,468,land
016,Boitatá,SPECIES_SQUIRTLE,fire/ghost,Campos queimados de Arauana,cerrado,wild,mid,standalone,0,514,land
017,Curupim,SPECIES_WARTORTLE,grass/fairy,Mata Atlântica de Arauana,atlantic_forest,wild,early,base,0,445,land
018,Curupira,SPECIES_BLASTOISE,grass/fairy,Mata Atlântica de Arauana,atlantic_forest,wild,late,final,34,603,land
019,Iaraço,SPECIES_CATERPIE,water/fairy,Rio Solimões de Arauana,amazon_rivers,story,story,standalone,0,548,fishing/land/water
020,Sacizinho,SPECIES_METAPOD,dark/flying,Cerrado de Arauana,cerrado,wild,mid,standalone,0,461,land
021,Cactula,SPECIES_BUTTERFREE,grass/poison,Caatinga de Arauana,caatinga,wild,early,standalone,0,382,land
022,Muriçoco,SPECIES_WEEDLE,bug/poison,Amazônia de Arauana,amazon,wild,early,standalone,0,287,land
023,Onçaléu,SPECIES_KAKUNA,dark,Pantanal de Arauana,pantanal,wild,late,standalone,0,524,land
024,Tamanduá,SPECIES_BEEDRILL,ground/steel,Cerrado de Arauana,cerrado,wild,mid,standalone,0,470,land/rock_smash
025,Botim,SPECIES_PIDGEY,water,Rio Amazonas de Arauana,amazon_rivers,wild,early,base,0,283,fishing/water
026,Botão,SPECIES_PIDGEOTTO,water/psychic,Rio Amazonas de Arauana,amazon_rivers,wild,early,middle,22,404,fishing/water
027,Botogaláu,SPECIES_PIDGEOT,water/psychic,Rio Amazonas de Arauana,amazon_rivers,wild,late,final,30,555,fishing/water
028,Tatuim,SPECIES_RATTATA,ground,Caatinga de Arauana,caatinga,wild,early,base,0,283,land/rock_smash
029,Tatubola,SPECIES_RATICATE,ground/steel,Caatinga de Arauana,caatinga,wild,early,middle,36,404,land/rock_smash
030,Tatuçu,SPECIES_SPEAROW,ground/steel,Caatinga de Arauana,caatinga,wild,late,final,40,555,land/rock_smash
031,Ararinha,SPECIES_FEAROW,flying,Pantanal de Arauana,pantanal,wild,early,base,0,284,land
032,Arará,SPECIES_EKANS,flying/fire,Pantanal de Arauana,pantanal,wild,early,middle,22,405,land
033,Araracanga,SPECIES_ARBOK,flying/fire,Pantanal de Arauana,pantanal,wild,late,final,30,550,land
034,Jacarim,SPECIES_PIKACHU,water,Pantanal de Arauana,pantanal,wild,early,base,0,284,fishing/land/water
035,Jacarão,SPECIES_RAICHU,water/dark,Pantanal de Arauana,pantanal,wild,early,middle,36,405,fishing/land/water
036,Jacarodon,SPECIES_SANDSHREW,water/dragon,Pantanal de Arauana,pantanal,wild,late,final,40,551,fishing/land/water
037,Preguicim,SPECIES_SANDSLASH,grass,Mata Atlântica de Arauana,atlantic_forest,wild,early,base,0,285,land
038,Preguicão,SPECIES_NIDORAN_F,grass/psychic,Mata Atlântica de Arauana,atlantic_forest,wild,early,middle,22,406,land
039,Bicho-Preguiça,SPECIES_NIDORINA,grass/psychic,Mata Atlântica de Arauana,atlantic_forest,wild,late,final,30,551,land
040,Papaguim,SPECIES_NIDOQUEEN,flying,Mata Atlântica de Arauana,atlantic_forest,wild,early,base,0,285,land
041,Papagaio,SPECIES_NIDORAN_M,flying/psychic,Mata Atlântica de Arauana,atlantic_forest,wild,early,middle,36,406,land
042,Papagaião,SPECIES_NIDORINO,flying/psychic,Mata Atlântica de Arauana,atlantic_forest,wild,late,final,40,552,land
