arauna_dex,name,method,level,target_dex,target_name,decision
001,Caramelo,EVO_LEVEL,17,002,Caramelão,Mantido
002,Caramelão,EVO_LEVEL,36,003,Draguará,Mantido
004,Querô,EVO_LEVEL,17,005,Queribela,Mantido
005,Queribela,EVO_LEVEL,36,006,Terolibra,Mantido
007,Pimpau,EVO_LEVEL,17,008,Bicopau,Mantido
008,Bicopau,EVO_LEVEL,36,009,Petropico,Mantido
010,Formilim,EVO_LEVEL,16,011,Saúvarco,Rebalanceado
014,Sagüim,EVO_LEVEL,22,015,Micuiras,Mantido
017,Curupim,EVO_LEVEL,34,018,Curupira,Mantido
025,Botim,EVO_LEVEL,20,026,Botão,Rebalanceado
026,Botão,EVO_LEVEL,32,027,Botogaláu,Rebalanceado
028,Tatuim,EVO_LEVEL,18,029,Tatubola,Rebalanceado
029,Tatubola,EVO_LEVEL,34,030,Tatuçu,Rebalanceado
031,Ararinha,EVO_LEVEL,18,032,Arará,Rebalanceado
032,Arará,EVO_LEVEL,34,033,Araracanga,Rebalanceado
034,Jacarim,EVO_LEVEL,20,035,Jacarão,Rebalanceado
035,Jacarão,EVO_LEVEL,36,036,Jacarodon,Rebalanceado
037,Preguicim,EVO_LEVEL,18,038,Preguicão,Rebalanceado
038,Preguicão,EVO_LEVEL,32,039,Bicho-Preguiça,Rebalanceado
040,Papaguim,EVO_LEVEL,20,041,Papagaio,Rebalanceado
041,Papagaio,EVO_LEVEL,36,042,Papagaião,Rebalanceado
043,Antinha,EVO_LEVEL,22,044,Anta,Mantido
046,Sucurim,EVO_LEVEL,30,047,Sucuri,Rebalanceado
047,Sucuri,EVO_LEVEL,50,048,Boiuna,Rebalanceado
049,Borbolim,EVO_LEVEL,12,050,Casulete,Rebalanceado
050,Casulete,EVO_LEVEL,22,051,Morphália,Rebalanceado
052,Guaracim,EVO_LEVEL,24,053,Guará,Rebalanceado
055,Peixim,EVO_LEVEL,24,056,Peixeboi,Rebalanceado
058,Mandim,EVO_LEVEL,22,059,Mandí,Rebalanceado
059,Mandí,EVO_LEVEL,38,060,Mandubé,Rebalanceado
061,Preguim,EVO_LEVEL,18,062,Prego,Rebalanceado
062,Prego,EVO_LEVEL,34,063,Pregarcanjo,Rebalanceado
064,Aranin,EVO_LEVEL,20,065,Caraninha,Rebalanceado
065,Caraninha,EVO_LEVEL,36,066,Caranga,Rebalanceado
067,Gatim,EVO_LEVEL,22,068,Gato-do-mato,Mantido
070,Cutim,EVO_LEVEL,22,071,Cutia,Rebalanceado
076,Quatim,EVO_LEVEL,22,077,Quati,Rebalanceado
079,Gambá,EVO_LEVEL,22,080,Cangambá,Mantido
082,Tuquinho,EVO_LEVEL,24,083,Aracari,Rebalanceado
085,Sapim,EVO_LEVEL,18,086,Sapão,Rebalanceado
086,Sapão,EVO_LEVEL,32,087,Cururu,Rebalanceado
088,Teiuzim,EVO_LEVEL,22,089,Teiú,Rebalanceado
091,Morcim,EVO_LEVEL,18,092,Morcego,Rebalanceado
092,Morcego,EVO_LEVEL,32,093,Vampiro,Rebalanceado
094,Piuiuim,EVO_LEVEL,24,095,Tuiuiú,Rebalanceado
097,Mulinha,EVO_LEVEL,20,098,Mula,Rebalanceado
098,Mula,EVO_LEVEL,34,099,Mula-sem-Cabeça,Rebalanceado
101,Cerválo,EVO_LEVEL,28,102,Catingueiro,Rebalanceado
104,Cabocim,EVO_LEVEL,26,105,Caboclo,Rebalanceado
111,Cavalim,EVO_LEVEL,28,112,Cavalgado,Rebalanceado
113,Zebuim,EVO_LEVEL,28,114,Zebu,Rebalanceado
117,Chocalhão,EVO_LEVEL,20,118,Cascavelim,Rebalanceado
118,Cascavelim,EVO_LEVEL,36,119,Cascavão,Mantido
121,Pirarim,EVO_LEVEL,24,122,Pirarucu,Rebalanceado
136,Vagalumim,EVO_LEVEL,22,137,Vagalume,Rebalanceado
138,Cigarrinho,EVO_LEVEL,18,139,Cigarrão,Rebalanceado
