table,gender,vanilla_name,arauna_name
battle frontier,M,BRADY,ABEL
battle frontier,M,CONNER,ABILIO
battle frontier,M,BRADLEY,ADAIR
battle frontier,F,CYBIL,ADA
battle frontier,F,RODETTE,ADELIA
battle frontier,F,PEGGY,ADILIA
battle frontier,M,KEITH,ADALTO
battle frontier,M,GRAYSON,ADAO
battle frontier,M,GLENN,ADEMAR
battle frontier,F,LILIANA,ALBA
battle frontier,F,ELISE,ALCINA
battle frontier,F,ZOEY,ALDA
battle frontier,M,MANUEL,ADEMIR
battle frontier,M,RUSS,ADILSON
battle frontier,M,DUSTIN,ADOLFO
battle frontier,F,TINA,ALICE
battle frontier,F,GILLIAN,ALINE
battle frontier,F,ZOE,ALZIRA
battle frontier,M,CHEN,ADRIANO
battle frontier,M,AL,AFONSO
battle frontier,M,MITCH,AGENOR
battle frontier,F,ANNE,AMALIA
battle frontier,F,ALIZE,AMELIA
battle frontier,F,LAUREN,ANA
battle frontier,M,KIPP,AILTON
battle frontier,M,JASON,AIRTON
battle frontier,M,JOHN,ALAOR
battle frontier,F,ANN,ANDREA
battle frontier,F,EILEEN,ANGELA
battle frontier,F,CARLIE,ANITA
battle frontier,M,GORDON,ALBANO
battle frontier,M,AYDEN,ALBERTO
battle frontier,M,MARCO,ALCEU
battle frontier,F,CIERRA,ANTONIA
battle frontier,F,MARCY,AUREA
battle frontier,F,KATHY,AURORA
battle frontier,M,PEYTON,ALCIDES
battle frontier,M,JULIAN,ALDO
battle frontier,M,QUINN,ALEX
battle frontier,F,HAYLEE,BABI
battle frontier,F,AMANDA,BEATRIZ
battle frontier,F,STACY,BELA
battle frontier,M,RAFAEL,ALFREDO
battle frontier,M,OLIVER,ALIPIO
battle frontier,M,PAYTON,ALMIR
battle frontier,F,PAMELA,BENTA
battle frontier,F,ELIZA,BIA
battle frontier,F,MARISA,BIANCA
battle frontier,M,LEWIS,ALOISIO
battle frontier,M,YOSHI,ALTAIR
battle frontier,M,DESTIN,ALVARO
battle frontier,M,KEON,AMADEU
battle frontier,M,STUART,AMANCIO
battle frontier,M,NESTOR,AMARO
battle frontier,M,DERRICK,AMAURI
battle frontier,M,BRYSON,AMERICO
battle frontier,M,CLAYTON,AMILCAR
battle frontier,M,TRENTON,ANDRE
battle frontier,M,JENSON,ANGELO
battle frontier,M,WESLEY,ANIBAL
battle frontier,M,ANTON,ANSELMO
battle frontier,M,LAWSON,ANTENOR
battle frontier,M,SAMMY,ANTONIO
battle frontier,M,ARNIE,AQUILES
battle frontier,M,ADRIAN,ARI
battle frontier,M,TRISTAN,ARIEL
battle frontier,F,JULIANA,BRUNA
battle frontier,F,RYLEE,CAMILA
battle frontier,F,CHELSEA,CANDIDA
battle frontier,F,DANELA,CARLA
battle frontier,F,LIZBETH,CARMEM
battle frontier,F,AMELIA,CARMO
battle frontier,F,JILLIAN,CAROL
battle frontier,F,ABBIE,CASSIA
battle frontier,F,BRIANA,CATIA
battle frontier,M,ANTONIO,ARLEI
battle frontier,M,JADEN,ARLINDO
battle frontier,M,DAKOTA,ARMANDO
battle frontier,M,BRAYDEN,ARNALDO
battle frontier,M,CORSON,ARNO
battle frontier,M,TREVIN,ARTUR
battle frontier,M,PATRICK,ARY
battle frontier,M,KADEN,ASSIS
battle frontier,M,MAXWELL,ATILIO
battle frontier,M,DARYL,AUGUSTO
battle frontier,M,KENNETH,AURELIO
battle frontier,M,RICH,AVELINO
battle frontier,M,CADEN,BASILIO
battle frontier,M,MARLON,BENICIO
battle frontier,M,NASH,BENTO
battle frontier,M,ROBBY,BERILO
battle frontier,M,REECE,BRAULIO
battle frontier,F,KATHRYN,CECILIA
battle frontier,F,ELLEN,CELIA
battle frontier,M,RAMON,BRAZ
battle frontier,M,ARTHUR,BRUNO
battle frontier,F,ALONDRA,CELINA
battle frontier,F,ADRIANA,CELMA
battle frontier,M,MALIK,CAETANO
battle frontier,F,JILL,CIDA
battle frontier,M,ERIK,CAIO
battle frontier,F,YAZMIN,CILENE
battle frontier,M,JAMAL,CALIXTO
battle frontier,F,LESLIE,CINTIA
battle frontier,M,DAVE,CAMILO
battle frontier,M,CARLO,CANDIDO
battle frontier,F,EMILIA,CLARA
battle frontier,F,DALIA,CLARICE
battle frontier,M,HITOMI,CARLOS
battle frontier,M,RICARDO,CARMELO
battle frontier,M,SHIZUKA,CASSIO
battle frontier,F,JOANA,CLAUDIA
battle frontier,F,KELLY,CLEIDE
battle frontier,F,RAYNA,CLELIA
battle frontier,M,EVAN,CELSO
battle frontier,M,JORDAN,CESAR
battle frontier,M,JOEL,CICERO
battle frontier,F,KRISTEN,CLEO
battle frontier,F,SELPHY,CLEUZA
battle frontier,F,CHLOE,CORA
battle frontier,M,NORTON,CLAUDIO
battle frontier,M,LUKAS,CLEBER
battle frontier,M,ZACH,CLOVIS
