party,theme,level,arauna_dex,name,bst,types
Randall,normal,26,115,Ovelhinha,449,normal/fairy
Parker,normal,26,084,Curicaca,447,flying/normal
George,normal,26,061,Preguim,283,normal
Berke,normal,26,115,Ovelhinha,449,normal/fairy
Mary,normal,26,045,Antaraú,446,normal/water
Alexia,normal,26,115,Ovelhinha,449,normal/fairy
Jody,normal,26,015,Micuiras,468,normal/psychic
Daphne,water,39,124,Tambaqui,445,water/normal
Daphne,water,39,127,Curimbatá,445,water/ground
Brianna,water,40,057,Mãe-d'Água,448,water/fairy
Connie,water,40,124,Tambaqui,445,water/normal
Bridget,water,40,125,Aruanã,447,water/flying
Olivia,water,35,045,Antaraú,446,normal/water
Olivia,water,37,035,Jacarão,405,water/dark
Olivia,water,39,130,Tucunaré,446,water/dark
Tiffany,water,39,124,Tambaqui,445,water/normal
Tiffany,water,39,057,Mãe-d'Água,448,water/fairy
Takao,fighting,13,264,Exu,444,dark/fighting
Kirk,electric,17,320,Pilhoso,446,electric/poison
Kirk,electric,17,244,Tupã,606,electric/dragon
Shawn,electric,17,244,Tupã,606,electric/dragon
Shawn,electric,17,320,Pilhoso,446,electric/poison
Cole,fire,23,232,Pargo,446,water/fire
Jeff,fire,22,052,Guaracim,287,fire
Jeff,fire,22,001,Caramelo,325,fire
Axle,fire,23,232,Pargo,446,water/fire
Jace,fire,23,052,Guaracim,287,fire
Keegan,fire,23,052,Guaracim,287,fire
Preston,psychic,36,308,Traça-Papel,444,bug/psychic
Virgil,psychic,36,163,Corurupim,284,flying/psychic
Blake,psychic,36,247,Rudá,449,fairy/psychic
Hannah,psychic,36,308,Traça-Papel,444,bug/psychic
Samantha,psychic,36,039,Bicho-Preguiça,551,grass/psychic
Maura,psychic,36,090,Camaleão,448,normal/psychic
Sidney,dark,46,123,Piranha,448,water/dark
Sidney,dark,48,068,Gato-do-mato,554,normal/dark
Sidney,dark,46,023,Onçaléu,524,dark
Sidney,dark,48,374,Escamoso,498,water/dark
Sidney,dark,49,077,Quati,550,normal/dark
Phoebe,ghost,48,236,Bicho-Papão,449,dark/ghost
Phoebe,ghost,49,239,Mão-Peluda,449,ghost/fighting
Phoebe,ghost,50,240,Perna-Cabeluda,446,ghost/normal
Phoebe,ghost,49,054,Guaraflama,448,fire/ghost
Phoebe,ghost,51,241,Comadre,448,ghost/fairy
Glacia,steel,50,231,Peixe-Espada,444,water/steel
Glacia,steel,50,030,Tatuçu,555,ground/steel
Glacia,steel,52,201,Ferrolho,445,steel/ground
Glacia,steel,52,110,Ogum,602,steel/fire
Glacia,steel,53,024,Tamanduá,470,ground/steel
Drake,dragon,52,211,Fóssil,448,rock/dragon
Drake,dragon,54,036,Jacarodon,551,water/dragon
Drake,dragon,53,280,Sucuriaçu,607,water/dragon
Drake,dragon,53,122,Pirarucu,552,water/dragon
Drake,dragon,55,348,Arauanamon,650,dragon/fairy
Roxanne1,rock,12,116,Cabrita,445,normal/rock
Roxanne1,rock,12,215,Granito,445,rock/fighting
Roxanne1,rock,15,205,Salitre,447,rock/water
Brawly1,fighting,16,264,Exu,444,dark/fighting
Brawly1,fighting,16,062,Prego,404,fighting/normal
Brawly1,fighting,19,275,Frevinho,444,fighting/fire
Wattson1,electric,20,244,Tupã,606,electric/dragon
Wattson1,electric,20,320,Pilhoso,446,electric/poison
Wattson1,electric,22,107,Xangô,449,electric/fighting
Wattson1,electric,24,126,Poraquê,449,electric/water
Flannery1,fire,24,232,Pargo,446,water/fire
Flannery1,fire,24,052,Guaracim,287,fire
Flannery1,fire,26,206,Enxofrino,449,fire/poison
Flannery1,fire,29,016,Boitatá,514,fire/ghost
Norman1,normal,27,084,Curicaca,447,flying/normal
Norman1,normal,27,115,Ovelhinha,449,normal/fairy
Norman1,normal,29,103,Suçuapara,447,normal/fighting
Norman1,normal,31,071,Cutia,555,normal
Winona1,flying,29,157,Sabiá,445,flying/normal
Winona1,flying,29,033,Araracanga,550,flying/fire
Winona1,flying,30,156,Beija-flor,448,flying/fairy
Winona1,flying,31,020,Sacizinho,461,dark/flying
Winona1,flying,33,083,Aracari,551,flying/grass
TateAndLiza1,psychic,41,265,Preto-Velho,604,ghost/psychic
TateAndLiza1,psychic,41,039,Bicho-Preguiça,551,grass/psychic
TateAndLiza1,psychic,42,247,Rudá,449,fairy/psychic
TateAndLiza1,psychic,42,305,Gato-Preto,449,dark/psychic
Juan1,water,41,124,Tambaqui,445,water/normal
Juan1,water,41,364,Sarará,472,fairy/water
Juan1,water,43,132,Matrinxã,444,water/normal
