id,name,family_root,stage,types,battle_role,role_move,signature_move,move_count,first_stab_level,final_move
001,Caramelo,001,0,fire,atk,MOVE_SWORDS_DANCE,MOVE_CRUNCH,13,1,MOVE_FLARE_BLITZ
002,Caramelão,001,1,fire,atk,MOVE_SWORDS_DANCE,MOVE_CRUNCH,13,1,MOVE_FLARE_BLITZ
003,Draguará,001,2,fire/dragon,atk,MOVE_SWORDS_DANCE,MOVE_CRUNCH,13,1,MOVE_FLARE_BLITZ
004,Querô,004,0,water,spa,MOVE_CALM_MIND,MOVE_BRAVE_BIRD,13,1,MOVE_HYDRO_PUMP
005,Queribela,004,1,water/bug,spa,MOVE_CALM_MIND,MOVE_BRAVE_BIRD,13,1,MOVE_HYDRO_PUMP
006,Terolibra,004,2,water/bug,spa,MOVE_CALM_MIND,MOVE_BRAVE_BIRD,13,1,MOVE_HYDRO_PUMP
007,Pimpau,007,0,grass,atk,MOVE_SWORDS_DANCE,MOVE_BRAVE_BIRD,13,1,MOVE_POWER_WHIP
008,Bicopau,007,1,grass,atk,MOVE_SWORDS_DANCE,MOVE_BRAVE_BIRD,13,1,MOVE_POWER_WHIP
009,Petropico,007,2,grass/rock,atk,MOVE_SWORDS_DANCE,MOVE_BRAVE_BIRD,13,1,MOVE_POWER_WHIP
010,Formilim,010,0,bug,atk,MOVE_SWORDS_DANCE,MOVE_FIRST_IMPRESSION,13,1,MOVE_MEGAHORN
011,Saúvarco,010,1,bug/ground,atk,MOVE_SWORDS_DANCE,MOVE_FIRST_IMPRESSION,13,1,MOVE_MEGAHORN
012,Capivim,012,0,water/normal,hp,MOVE_RECOVER,MOVE_LIQUIDATION,12,1,MOVE_GIGA_IMPACT
013,Tucanhão,013,0,flying/grass,spe,MOVE_AGILITY,MOVE_BRAVE_BIRD,13,1,MOVE_HURRICANE
014,Sagüim,014,0,normal,spa,MOVE_CALM_MIND,MOVE_HYPER_BEAM,11,1,MOVE_FUTURE_SIGHT
015,Micuiras,014,1,normal/psychic,spa,MOVE_CALM_MIND,MOVE_HYPER_BEAM,11,1,MOVE_FUTURE_SIGHT
016,Boitatá,016,0,fire/ghost,spa,MOVE_CALM_MIND,MOVE_OVERHEAT,13,1,MOVE_FIRE_BLAST
017,Curupim,017,0,grass/fairy,spe,MOVE_AGILITY,MOVE_PETAL_DANCE,13,1,MOVE_SOLAR_BEAM
018,Curupira,017,1,grass/fairy,spe,MOVE_AGILITY,MOVE_PETAL_DANCE,13,1,MOVE_SOLAR_BEAM
019,Iaraço,019,0,water/fairy,spa,MOVE_CALM_MIND,MOVE_WATER_SPOUT,13,1,MOVE_HYDRO_PUMP
020,Sacizinho,020,0,dark/flying,spe,MOVE_AGILITY,MOVE_FIERY_WRATH,13,1,MOVE_FOUL_PLAY
021,Cactula,021,0,grass/poison,def,MOVE_IRON_DEFENSE,MOVE_LEAF_STORM,13,1,MOVE_SOLAR_BEAM
022,Muriçoco,022,0,bug/poison,spe,MOVE_AGILITY,MOVE_FIRST_IMPRESSION,13,1,MOVE_MEGAHORN
023,Onçaléu,023,0,dark,atk,MOVE_SWORDS_DANCE,MOVE_CRUNCH,12,1,MOVE_FOUL_PLAY
024,Tamanduá,024,0,ground/steel,atk,MOVE_SWORDS_DANCE,MOVE_EARTHQUAKE,12,1,MOVE_METEOR_MASH
025,Botim,025,0,water,atk,MOVE_SWORDS_DANCE,MOVE_WAVE_CRASH,13,1,MOVE_LIQUIDATION
026,Botão,025,1,water/psychic,atk,MOVE_SWORDS_DANCE,MOVE_WAVE_CRASH,13,1,MOVE_LIQUIDATION
027,Botogaláu,025,2,water/psychic,atk,MOVE_SWORDS_DANCE,MOVE_WAVE_CRASH,13,1,MOVE_LIQUIDATION
028,Tatuim,028,0,ground,atk,MOVE_SWORDS_DANCE,MOVE_HEADLONG_RUSH,13,1,MOVE_EARTHQUAKE
029,Tatubola,028,1,ground/steel,atk,MOVE_SWORDS_DANCE,MOVE_HEADLONG_RUSH,13,1,MOVE_EARTHQUAKE
030,Tatuçu,028,2,ground/steel,atk,MOVE_SWORDS_DANCE,MOVE_HEADLONG_RUSH,13,1,MOVE_EARTHQUAKE
031,Ararinha,031,0,flying,atk,MOVE_SWORDS_DANCE,MOVE_DUAL_WINGBEAT,12,1,MOVE_BRAVE_BIRD
032,Arará,031,1,flying/fire,atk,MOVE_SWORDS_DANCE,MOVE_DUAL_WINGBEAT,12,1,MOVE_BRAVE_BIRD
033,Araracanga,031,2,flying/fire,atk,MOVE_SWORDS_DANCE,MOVE_DUAL_WINGBEAT,12,1,MOVE_BRAVE_BIRD
034,Jacarim,034,0,water,atk,MOVE_SWORDS_DANCE,MOVE_WAVE_CRASH,13,1,MOVE_LIQUIDATION
035,Jacarão,034,1,water/dark,atk,MOVE_SWORDS_DANCE,MOVE_WAVE_CRASH,13,1,MOVE_LIQUIDATION
