arauna_dex,full_name,display_name,note
039,Bicho-Preguiça,Preguiça,common Brazilian short form of the animal
063,Pregarcanjo,Preganjo,blend kept - Preguiça + Arcanjo
068,Gato-do-mato,Gato-Mato,middle particle dropped
069,Jaguatirica,Jaguatiri,final syllable dropped
099,Mula-sem-Cabeça,Mula-sem,the folk name is recognisable from the first half
102,Catingueiro,Catingeiro,-ueiro contracted to -eiro
151,Marimbondão,Maribondao,regional spelling; plain Marimbondo is #074
155,Formigão-Preto,Formipreto,contracted blend; plain Formigao is #073
169,Trinca-Ferro,Trinca-Fer,second element abbreviated
172,Papa-Formiga,Papa-Formi,second element abbreviated
175,João-de-Barro,Joao-Barro,middle particle dropped
181,Vitóriarégia,Vitorrégia,contracted
209,Estalactite,Estalacte,contracted
210,Estalagmite,Estalagme,contracted
223,Cavalim-Marinho,Cavalmarim,contracted blend; plain Cavalim is #111
224,Tartaruguim,Tartaruim,contracted
231,Peixe-Espada,Peixespada,hyphen elided
236,Bicho-Papão,Bichopapao,hyphen elided
240,Perna-Cabeluda,Pernaluda,contracted blend
252,Anhangá-Pitã,Anhangapi,contracted
256,Iemanjá-Pequena,Iemanjinha,diminutive instead of the qualifier
261,Curupira-Ancião,Curupirao,augmentative instead of the qualifier
262,Caipora-Fêmea,Caiporinha,diminutive instead of the qualifier
265,Preto-Velho,PretoVelho,hyphen elided
266,Caboclo-Guerreiro,Caboguerra,contracted blend
271,Menino-Deus,MeninoDeus,hyphen elided
273,Bumba-Meu-Boi,Bumba-Boi,middle particle dropped
282,Draguará-Alfa,Dragualfa,contracted blend
283,Terolibra-Rainha,Terorainha,contracted blend
284,Petropico-Ancião,Petropicao,augmentative instead of the qualifier
285,Boitatá-Puro,Boitapuro,contracted blend
287,Curupira-Rei,Curupirei,contracted blend
291,Cobra-Norato,Norato,the legend's own name
297,Corcovado-Ancião,Corcovadao,augmentative instead of the qualifier
308,Traça-Papel,TraçaPapel,hyphen elided
359,Preguicinha,Preguinha,contracted
290,Muirá-Kytã,Muirakytan,hyphen and accent elided
295,Muiraquitã,Muiraquita,final nasal dropped; Muirakytan is #290
