arauna_dex,name,species_constant,slug,ow_size,wired,obj_event_gfx,reclaimed_from,note
005,Queribela,SPECIES_MARSHTOMP,queribela,64,no,,,arte versionada; sem id de object event livre
009,Petropico,SPECIES_SCEPTILE,petropico,64,no,,,arte versionada; sem id de object event livre
022,Muriçoco,SPECIES_WEEDLE,muricoco,64,no,,,arte versionada; sem id de object event livre
027,Botogaláu,SPECIES_PIDGEOT,botogalau,64,no,,,arte versionada; sem id de object event livre
029,Tatubola,SPECIES_RATICATE,tatubola,64,no,,,arte versionada; sem id de object event livre
030,Tatuçu,SPECIES_SPEAROW,tatucu,64,no,,,arte versionada; sem id de object event livre
036,Jacarodon,SPECIES_SANDSHREW,jacarodon,64,no,,,arte versionada; sem id de object event livre
037,Preguicim,SPECIES_SANDSLASH,preguicim,64,no,,,arte versionada; sem id de object event livre
040,Papaguim,SPECIES_NIDOQUEEN,papaguim,64,no,,,arte versionada; sem id de object event livre
042,Papagaião,SPECIES_NIDORINO,papagaiao,64,no,,,arte versionada; sem id de object event livre
045,Antaraú,SPECIES_CLEFABLE,antarau,64,no,,,arte versionada; sem id de object event livre
048,Boiuna,SPECIES_JIGGLYPUFF,boiuna,64,no,,,arte versionada; sem id de object event livre
052,Guaracim,SPECIES_ODDISH,guaracim,64,no,,,arte versionada; sem id de object event livre
053,Guará,SPECIES_GLOOM,guara,64,no,,,arte versionada; sem id de object event livre
054,Guaraflama,SPECIES_VILEPLUME,guaraflama,64,no,,,arte versionada; sem id de object event livre
088,Teiuzim,SPECIES_SLOWPOKE,teiuzim,64,no,,,arte versionada; sem id de object event livre
107,Xangô,SPECIES_KRABBY,xango,64,no,,,arte versionada; sem id de object event livre
108,Iemanjá,SPECIES_KINGLER,iemanja,64,yes,OBJ_EVENT_GFX_ARAUNA_IEMANJA,OBJ_EVENT_GFX_QUINTY_PLUMP,id 4
109,Oxum,SPECIES_VOLTORB,oxum,64,no,,,arte versionada; sem id de object event livre
110,Ogum,SPECIES_ELECTRODE,ogum,64,no,,,arte versionada; sem id de object event livre
111,Cavalim,SPECIES_EXEGGCUTE,cavalim,64,no,,,arte versionada; sem id de object event livre
115,Ovelhinha,SPECIES_HITMONLEE,ovelhinha,64,no,,,arte versionada; sem id de object event livre
139,Cigarrão,SPECIES_GYARADOS,cigarrao,64,no,,,arte versionada; sem id de object event livre
177,Muda,SPECIES_ARIADOS,muda,64,no,,,arte versionada; sem id de object event livre
180,Orquidina,SPECIES_LANTURN,orquidina,64,no,,,arte versionada; sem id de object event livre
186,Buriti,SPECIES_NATU,buriti,64,no,,,arte versionada; sem id de object event livre
231,Peixe-Espada,SPECIES_CORSOLA,peixe_espada,64,no,,,arte versionada; sem id de object event livre
234,Loirinha,SPECIES_DELIBIRD,loirinha,64,no,,,arte versionada; sem id de object event livre
237,Lobisomem,SPECIES_HOUNDOUR,lobisomem,64,yes,OBJ_EVENT_GFX_ARAUNA_LOBISOMEM,OBJ_EVENT_GFX_LITTLE_BOY_3,id 136
242,Anhangá,SPECIES_PORYGON2,anhanga,64,no,,,arte versionada; sem id de object event livre
247,Rudá,SPECIES_SMOOCHUM,ruda,64,no,,,arte versionada; sem id de object event livre
252,Anhangá-Pitã,SPECIES_RAIKOU,anhanga_pita,64,no,,,arte versionada; sem id de object event livre
255,Zumbi,SPECIES_LARVITAR,zumbi,64,no,,,arte versionada; sem id de object event livre
256,Iemanjá-Pequena,SPECIES_PUPITAR,iemanja_pequena,64,no,,,arte versionada; sem id de object event livre
258,Oxalá,SPECIES_LUGIA,oxala,64,yes,OBJ_EVENT_GFX_LUGIA,,ja tinha object event; passa a 64x64
261,Curupira-Ancião,SPECIES_POOCHYENA,curupira_anciao,64,yes,OBJ_EVENT_GFX_POOCHYENA,,ja tinha object event; passa a 64x64
265,Preto-Velho,SPECIES_WURMPLE,preto_velho,64,yes,OBJ_EVENT_GFX_ARAUNA_PRETO_VELHO,"(id 239, nunca usado)",id 239
283,Terolibra-Rainha,SPECIES_SURSKIT,terolibra_rainha,64,no,,,arte versionada; sem id de object event livre
289,Anhangaú,SPECIES_SLAKING,anhangau,64,no,,,arte versionada; sem id de object event livre
296,Amazona,SPECIES_MAKUHITA,amazona,64,no,,,arte versionada; sem id de object event livre
297,Corcovado-Ancião,SPECIES_HARIYAMA,corcovado_anciao,64,no,,,arte versionada; sem id de object event livre
298,Cristo,SPECIES_AZURILL,cristo,64,yes,OBJ_EVENT_GFX_AZURILL,,ja tinha object event; passa a 64x64
306,Perereca,SPECIES_AGGRON,perereca,64,no,,,arte versionada; sem id de object event livre
310,Ferrugem,SPECIES_MANECTRIC,ferrugem,64,no,,,arte versionada; sem id de object event livre
315,Bituca,SPECIES_ROSELIA,bituca,64,no,,,arte versionada; sem id de object event livre
369,Sanfoninha,SPECIES_RELICANTH,sanfoninha,64,no,,,arte versionada; sem id de object event livre
