map,channel,arauna_dex,name,x,y
Route101,A,022,Muriçoco,16,15
Route101,B,139,Cigarrão,13,5
Route102,A,005,Queribela,44,5
Route102,B,027,Botogaláu,3,4
Route103,A,036,Jacarodon,3,9
Route103,B,048,Boiuna,28,8
Route104,A,108,Iemanjá,3,48
Route104,B,109,Oxum,3,40
Route105,A,231,Peixe-Espada,36,53
Route105,B,256,Iemanjá-Pequena,33,8
Route106,A,283,Terolibra-Rainha,14,14
Route106,B,306,Perereca,7,11
Route109,A,237,Lobisomem,36,42
Route110,A,040,Papaguim,6,54
Route110,B,042,Papagaião,5,59
Route111,A,029,Tatubola,6,63
Route111,B,030,Tatuçu,18,30
Route114,A,297,Corcovado-Ancião,10,53
Route116,A,045,Antaraú,17,13
Route116,B,088,Teiuzim,51,15
Route118,A,111,Cavalim,50,12
Route118,B,115,Ovelhinha,21,7
Route119,A,369,Sanfoninha,24,101
Route119,B,009,Petropico,3,83
Route121,A,037,Preguicim,56,16
Route121,B,177,Muda,41,16
Route123,A,180,Orquidina,95,16
Route123,B,186,Buriti,123,12
FieryPath,A,052,Guaracim,27,29
FieryPath,B,053,Guará,20,20
GraniteCave_1F,A,296,Amazona,9,5
GraniteCave_B1F,A,247,Rudá,21,18
GraniteCave_B1F,B,110,Ogum,17,12
GraniteCave_StevensRoom,A,310,Ferrugem,9,10
MtPyre_3F,A,234,Loirinha,3,3
MtPyre_3F,B,242,Anhangá,8,4
MtPyre_4F,A,252,Anhangá-Pitã,9,7
MtPyre_4F,B,255,Zumbi,9,3
MtPyre_5F,A,265,Preto-Velho,3,9
MtPyre_5F,B,289,Anhangaú,9,7
NewMauville_Entrance,A,107,Xangô,5,3
Route114,B,315,Bituca,32,30
MagmaHideout_1F,A,054,Guaraflama,5,7
