engine_slot,vanilla_bst,now_holds_slot,arauna_dex,arauna_name,arauna_bst
SPECIES_SUNKERN,180,SPECIES_SPINARAK,176,Sementim,282
SPECIES_AZURILL,190,SPECIES_SLOWPOKE,088,Teiuzim,282
SPECIES_CATERPIE,195,SPECIES_BULBASAUR,010,Formilim,248
SPECIES_WEEDLE,195,SPECIES_WEEPINBELL,079,Gambá,286
SPECIES_WURMPLE,195,SPECIES_ZUBAT,050,Casulete,283
SPECIES_RALTS,198,SPECIES_ABSOL,359,Preguicinha,285
SPECIES_FEEBAS,200,SPECIES_PARAS,055,Peixim,282
SPECIES_MAGIKARP,200,SPECIES_RHYDON,121,Pirarim,282
SPECIES_CASCOON,205,SPECIES_OMANYTE,147,Grilim,285
SPECIES_KAKUNA,205,SPECIES_PINSIR,136,Vagalumim,285
SPECIES_METAPOD,205,SPECIES_LAPRAS,140,Louvadinha,287
SPECIES_PICHU,205,SPECIES_JUMPLUFF,198,Cristalim,282
SPECIES_SILCOON,205,SPECIES_WEEDLE,022,Muriçoco,287
SPECIES_IGGLYBUFF,210,SPECIES_MEOWTH,061,Preguim,283
SPECIES_TYROGUE,210,SPECIES_NIDOQUEEN,040,Papaguim,285
SPECIES_WOOPER,210,SPECIES_PIDGEY,025,Botim,283
SPECIES_SENTRET,215,SPECIES_CUBONE,113,Zebuim,283
SPECIES_CLEFFA,218,SPECIES_EXEGGCUTE,111,Cavalim,284
SPECIES_LOTAD,220,SPECIES_VENOMOTH,058,Mandim,283
SPECIES_POOCHYENA,220,SPECIES_HOPPIP,196,Pedrinha,284
SPECIES_SEEDOT,220,SPECIES_AMPHAROS,190,Cacauim,283
SPECIES_SHEDINJA,236,SPECIES_GOLDUCK,064,Aranin,284
SPECIES_MAKUHITA,237,SPECIES_SNEASEL,224,Tartaruguim,285
SPECIES_WHISMUR,240,SPECIES_GROWLITHE,067,Gatim,284
SPECIES_ZIGZAGOON,240,SPECIES_GRIMER,097,Mulinha,284
SPECIES_TOGEPI,245,SPECIES_NIDOKING,043,Antinha,286
SPECIES_ZUBAT,245,SPECIES_LICKITUNG,117,Chocalhão,285
SPECIES_HOPPIP,250,SPECIES_XATU,187,Cajuzim,282
SPECIES_MARILL,250,SPECIES_QWILFISH,220,Polvim,282
SPECIES_SLUGMA,250,SPECIES_ODDISH,052,Guaracim,287
SPECIES_SMEARGLE,250,SPECIES_GASTLY,101,Cerválo,286
SPECIES_SPINARAK,250,SPECIES_MANKEY,065,Caraninha,405
SPECIES_SWINUB,250,SPECIES_VOLBEAT,313,Lixão,287
SPECIES_PIDGEY,251,SPECIES_DODRIO,094,Piuiuim,283
SPECIES_RATTATA,253,SPECIES_POLIWHIRL,070,Cutim,285
SPECIES_SKITTY,260,SPECIES_MUK,098,Mula,405
