hoenn_name,arauna_name,mentions,source
ABANDONED SHIP,NAVIO PERDIDO,0,region map
ANCIENT TOMB,TUMBA ANTIGA,0,region map
ARTISAN CAVE,GRUTA DO OFICIO,0,region map
CAVE OF ORIGIN,GRUTA DA ORIGEM,0,region map
DESERT RUINS,RUINAS DA AREIA,0,region map
DESERT UNDERPASS,PASSAGEM SECA,0,region map
DEVON,HORIZONTE,0,already used in the text
DEVON CORP,CONSORCIO HORIZONTE,0,already used in the text
DEVON CORPORATION,CONSORCIO HORIZONTE,0,already used in the text
DEVON GOODS,ENCOMENDA,0,already used in the text
DEVON SCOPE,VISOR VERDADE,0,already used in the text
DEWFORD,PORTO DAS REDES,0,region map
DEWFORD TOWN,PORTO DAS REDES,0,region map
EVER GRANDE,ESTR. JURAMENTO,0,region map
EVER GRANDE CITY,ESTR. JURAMENTO,0,region map
FALLARBOR,CAMPO DAS CINZAS,0,region map
FALLARBOR TOWN,CAMPO DAS CINZAS,0,region map
FIERY PATH,TRILHA DE BRASA,0,region map
FORTREE,MATA DO MEIO,0,region map
FORTREE CITY,MATA DO MEIO,0,region map
GRANITE CAVE,GRUTA DAS VOZES,0,region map
HOENN,ARAUNA,0,already used in the text
ISLAND CAVE,GRUTA DA ILHA,0,region map
JAGGED PASS,PASSO CORTADO,0,region map
LAVARIDGE,SERTAO DE DENTRO,0,region map
LAVARIDGE TOWN,SERTAO DE DENTRO,0,region map
LILYCOVE,BAIA DAS LUZES,0,region map
LILYCOVE CITY,BAIA DAS LUZES,0,region map
LITTLEROOT,VILA AMANHECER,0,region map
LITTLEROOT TOWN,VILA AMANHECER,0,region map
MARINE CAVE,GRUTA DAS MARES,0,region map
MAUVILLE,ENCRUZILHADA,0,region map
MAUVILLE CITY,ENCRUZILHADA,0,region map
METEOR FALLS,RUINAS DA QUEDA,0,region map
MIRAGE ISLAND,ILHA MIRAGEM,0,region map
MIRAGE TOWER,TORRE MIRAGEM,0,region map
MOSSDEEP,MISSOES DO CEU,0,region map
MOSSDEEP CITY,MISSOES DO CEU,0,region map
MT. CHIMNEY,SERRA DA CINZA,0,region map
MT. PYRE,MEMORIAL DOS NOMES,0,region map
NEW ENCRUZILHADA,USINA VELHA,0,already used in the text
NEW MAUVILLE,USINA VELHA,0,region map
OLDALE,VILA DA PASSAGEM,0,region map
OLDALE TOWN,VILA DA PASSAGEM,0,region map
PACIFIDLOG,CASA DA FOGUEIRA,0,region map
PACIFIDLOG TOWN,CASA DA FOGUEIRA,0,region map
PAMPA DA ESPERA WOODS,MATA DA ESPERA,0,already used in the text
PETALBURG,PAMPA DA ESPERA,0,region map
PETALBURG CITY,PAMPA DA ESPERA,0,region map
PETALBURG WOODS,MATA DA ESPERA,0,region map
RUSTBORO,SERRA DO UIVO,0,region map
RUSTBORO CITY,SERRA DO UIVO,0,region map
RUSTURF TUNNEL,GALERIAS SERRA,0,region map
S.S. TIDAL,MARE ALTA,0,already used in the text
SAFARI ZONE,RESERVA ARAUNA,1,region map
SAFARI ZONE ENTRANCE,ENTRADA DA RESERVA,0,already used in the text
SCORCHED SLAB,LAJE QUEIMADA,0,region map
SEAFLOOR CAVERN,CAVERNAS M'BOI,0,region map
SEALED CHAMBER,CAMARA SELADA,0,region map
SHOAL CAVE,GRUTA DA MARE,0,region map
SKY PILLAR,TORRE JURAMENTO,0,region map
SLATEPORT,PORTO DO SAL,0,region map
SLATEPORT CITY,PORTO DO SAL,0,region map
SOOTOPOLIS,AGUAS DE M'BOI,0,region map
SOOTOPOLIS CITY,AGUAS DE M'BOI,0,region map
SOUTHERN ISLAND,ILHA DO SUL,0,region map
TERRA CAVE,GRUTA DA TERRA,0,region map
TRICK HOUSE,CASA DOS TRUQUES,1,already used in the text
VERDANTURF,VALE DO SILENCIO,0,region map
VERDANTURF TOWN,VALE DO SILENCIO,0,region map
VICTORY ROAD,ESTR. JURAMENTO,0,region map
BATTLE FRONTIER,,16,not named yet
TRAINER HILL,,8,not named yet
NAVEL ROCK,,1,not named yet
BIRTH ISLAND,,1,not named yet
FARAWAY ISLAND,,1,not named yet
ALTERING CAVE,,2,not named yet
