hoenn_name,arauna_name,mentions
ABSOL,Preguinha,2
ALAKAZAM,Marimbondo,3
ALTARIA,Yasy,2
AMPHAROS,Cacauim,1
ARTICUNO,Corupiao,1
AZUMARILL,Mate,6
AZURILL,Cristo,8
BAGON,Zabumba,1
BALTOY,Fogaréu,1
BANETTE,Preazinho,2
BAYLEEF,Urubu,1
BEEDRILL,Tamanduá,1
BELDUM,Escamoso,2
BELLOSSOM,Cacaueiro,2
BLASTOISE,Curupira,1
BLAZIKEN,Draguará,1
BLISSEY,Caipora,1
CARVANHA,Garrafao,1
CASTFORM,Tuim,3
CHANSEY,Pirarucu,1
CHARIZARD,Micuiras,1
CHARMELEON,Sagüim,1
CHIKORITA,Gaviao,1
CHIMECHO,Tamanduao,1
CLAMPERL,Berimbau,3
CLAYDOL,Marulho,1
CLEFAIRY,Anta,1
CLEFFA,Ipê,1
CORSOLA,Peixespada,2
CROBAT,Jequitibá,1
CROCONAW,Anú,1
CUBONE,Zebuim,3
CYNDAQUIL,Coruja,1
DELIBIRD,Loirinha,1
DEWGONG,Colhereiro,1
DITTO,Louvadeus,1
DODRIO,Piuiuim,4
DRAGONITE,Bem-te-vi,1
DUGTRIO,Mandubé,1
DUSCLOPS,Tamanduí,7
DUSKULL,Capivarao,1
DUSTOX,Cangaceiro,1
ELECTABUZZ,Cascudo,1
ELECTRODE,Ogum,2
ELEKID,Aluá,1
ENTEI,Yara-Pindá,1
ESPEON,Salitre,2
EXEGGUTOR,Cavalgado,1
EXPLOUD,Muiraquita,2
FARFETCH'D,Morcego,1
FLAAFFY,Açaí,1
FLAREON,Piolhao,1
FLYGON,Jaciana,1
FORRETRESS,Marmim,1
GARDEVOIR,Dragualfa,2
GENGAR,Suçuapara,4
GLOOM,Guará,1
GOLDUCK,Aranin,1
GROUDON,Oxumará,2
GRUMPIG,Sinal,2
GULPIN,Latinha,5
GYARADOS,Cigarrao,1
HERACROSS,Cavalmarim,1
HITMONCHAN,Cabrita,2
HITMONLEE,Ovelhinha,1
HITMONTOP,Guaraci,1
HORSEA,Aruanan,1
HOUNDOOM,Corpo-Seco,1
ILLUMISE,Chorume,2
IVYSAUR,Saúvarco,1
JIGGLYPUFF,Boiuna,2
JOLTEON,Caramulao,1
JYNX,Piau,1
KANGASKHAN,Tambaqui,1
KECLEON,Periquitao,3
KINGLER,Iemanjá,1
KIRLIA,Pirarumbá,6
KYOGRE,Iemanjan,2
LANTURN,Orquidina,1
LAPRAS,Louvadinha,1
LATIAS,Selenê,1
LATIOS,Zumbi-Rei,1
LICKITUNG,Chocalhao,1
LINOONE,Exu,1
LOTAD,Beata,14
LUNATONE,Arauanaú,1
LUVDISC,Violeiro,2
MACHAMP,Quati,1
MACHOKE,Quatim,1
MACHOP,Abelhinha,3
MAGBY,Jenipapo,1
MAGCARGO,Tubarim,1
MAGIKARP,Cigarrinho,1
MAGNEMITE,Camaleao,2
MAGNETON,Morcim,1
MANECTRIC,Ferrugem,1
MANTINE,Cuca,1
MARILL,Guaraná,1
MAROWAK,Zebu,2
MEDICHAM,TraçaPapel,1
MEDITITE,Lagartixa,1
MEGANIUM,Corurupim,1
MEOWTH,Preguim,1
MILTANK,Urucum,1
MINUN,Óleoso,2
MISDREAVUS,Estalacte,2
MOLTRES,Formipreto,1
MR. MIME,Pacu,1
MUDKIP,Querô,1
MUK,Mula,1
NIDOQUEEN,Papaguim,1
NINCADA,Muirakytan,1
NINETALES,Sucuri,3
NUMEL,Bugao,1
ODDISH,Guaracim,1
OMASTAR,Grilao,1
PIDGEOTTO,Botao,1
PIKACHU,Jacarim,6
PINECO,Vulcanite,1
PINSIR,Vagalumim,2
PLUSLE,Fumacento,4
POLITOED,Mandioca,1
POLIWAG,Jaguatiri,1
POOCHYENA,Curupirao,3
PORYGON2,Anhangá,1
PSYDUCK,Preganjo,1
QUILAVA,Jaburu,1
RAIKOU,Anhangapi,1
RALTS,Sucuriaçu,2
RAPIDASH,Cururu,1
RATICATE,Tatubola,1
RAYQUAZA,Curupixel,9
RELICANTH,Sanfoninha,1
RHYDON,Pirarim,1
RHYHORN,Jararaca,1
ROSELIA,Bituca,1
SABLEYE,Baratao,1
SALAMENCE,Rendeira,1
SANDSHREW,Jacarodon,1
SEALEO,Sarará,1
SEEDOT,Bumba-Boi,15
SEVIPER,Perybé,1
SHROOMISH,Boitapuro,3
SKITTY,Pombim,14
SLAKING,Anhangaú,1
SLAKOTH,Curupirei,2
SLOWBRO,Teiú,1
SLOWKING,Boneco,2
SMEARGLE,Tupan,6
SMOOCHUM,Rudá,4
SNORLAX,Traça,1
SOLROCK,Verdejante,1
SPHEAL,Beija-Sol,1
SPINDA,Poste,3
STANTLER,Jurupari,2
STARMIE,Tucunaré,3
STARYU,Dourado,1
SUDOWOODO,Milho,1
SUICUNE,Pisadeira,1
SUNFLORA,Ferrolho,1
SWELLOW,Congada,1
TAILLOW,Maracatu,1
TANGELA,Piranha,1
TOGEPI,Palmito,1
TOGETIC,Babaçu,1
TORCHIC,Caramelo,1
TOTODILE,Seriema,1
TREECKO,Pimpau,1
TROPIUS,Tamanduá,1
TYRANITAR,Ossanha,1
UNOWN,Estalagme,6
URSARING,Golfinho,2
VAPOREON,Escorpiao,1
VENOMOTH,Mandim,1
VENUSAUR,Capivim,1
VIGOROTH,Saci-Rei,1
VOLBEAT,Lixao,4
VOLTORB,Oxum,1
VULPIX,Sucurim,1
WAILMER,Pilhoso,16
WARTORTLE,Curupim,1
WEEZING,Cascavao,2
WHISMUR,Ipupiara,1
WIGGLYTUFF,Borbolim,1
WINGULL,Foliao,30
WOBBUFFET,Fóssil,1
WOOPER,Bauxito,1
WYNAUT,Preguiçoso,1
YANMA,Diamantina,1
ZANGOOSE,Rudarauna,1
ZAPDOS,Cupinzim,1
ZIGZAGOON,Pomba-Gira,21
ZUBAT,Casulete,3
