vanilla_name,gender,arauna_name,entries
AARON,M,ABEL,1
ABIGAIL,F,ADRIANA,5
AIDAN,M,ADEMIR,1
AISHA,F,ALICE,1
ALAN,M,ADILSON,1
ALBERT,M,ADRIANO,1
ALBERTO,M,AFONSO,1
ALEX,M,AILTON,1
ALEXA,F,ALZIRA,1
ALEXIA,F,AMANDA,1
ALEXIS,F,AMELIA,1
ALICE,F,ANDREIA,1
ALIX,F,ANGELA,1
ALLEN,M,AIRTON,1
ALLISON,F,ANITA,1
ALVARO,M,ALBERTO,1
ALYSSA,F,AURORA,1
AMY & LIV,pair,ANE & VIVI,6
ANDREA,F,BEATRIZ,1
ANDRES,M,ALCEU,5
ANDREW,M,ALCIDES,1
ANGELICA,F,BENEDITA,1
ANGELINA,F,BERENICE,1
ANGELO,M,ALDO,1
ANNA & MEG,pair,ANA & DUDA,5
ANNIKA,F,BETANIA,1
ANTHONY,M,ALFREDO,1
ASHLEY,F,BIANCA,1
ATHENA,F,BRUNA,1
ATSUSHI,M,ALOISIO,1
AURON,M,ALVARO,1
AUSTINA,F,CAMILA,1
AUTUMN,F,CARLA,1
AXLE,M,AMADEU,1
BARNY,M,AMILCAR,1
BARRY,M,ANDERSON,1
BEAU,M,ANIBAL,1
BECK,M,ANSELMO,1
BECKY,F,CARMEM,1
BEN,M,ANTENOR,1
BENJAMIN,M,ANTONIO,5
BENNY,M,ARLINDO,1
BERKE,M,ARMANDO,1
BERNIE,M,ARNALDO,5
BETH,F,CAROL,1
BETHANY,F,CASSIA,1
BEVERLY,F,CATARINA,1
BIANCA,F,CECILIA,1
BILLY,M,ARTUR,1
BLAKE,M,AUGUSTO,1
BRANDEN,M,AURELIO,1
BRANDI,F,CELIA,1
BRAXTON,M,BALTAZAR,1
BRENDA,F,CIDA,1
BRENDEN,M,BASILIO,1
BRENT,M,BENEDITO,1
BRIANNA,F,CILENE,1
BRICE,M,BENICIO,1
BRIDGET,F,CINTIA,1
BROOKE,F,CLARICE,5
BRYAN,M,BERNARDO,1
BRYANT,M,BRAULIO,1
CALE,M,BRUNO,1
CALLIE,F,CLAUDIA,1
CALVIN,M,CAIO,5
CAMDEN,M,CAMILO,1
CAMERON,M,CANDIDO,5
CAMRON,M,CARLOS,1
CARLEE,F,CLEIDE,1
CAROL,F,CONSUELO,1
CAROLINA,F,CRISTINA,1
CAROLINE,F,DAIANE,1
CARTER,M,CASSIANO,1
CATHERINE,F,DALILA,5
CEDRIC,M,CELSO,1
CELIA,F,DAMIANA,1
CELINA,F,DANIELA,1
CHAD,M,CESAR,1
CHANDLER,M,CICERO,1
CHARLIE,M,CLAUDIO,1
CHARLOTTE,F,DARCI,1
CHASE,M,CLEBER,1
CHESTER,M,CLOVIS,1
CHIP,M,CRISTIANO,1
CHRIS,M,DANILO,1
CINDY,F,DEBORA,6
CLARENCE,M,DARIO,1
CLARISSA,F,DENISE,1
CLARK,M,DAVI,1
CLAUDE,M,DEMETRIO,1
CLIFFORD,M,DIEGO,1
COBY,M,DIOGO,1
COLE,M,DIONISIO,1
COLIN,M,DJALMA,1
COLTON,M,DOMINGOS,1
CONNIE,F,DIANA,1
CONOR,M,DONATO,1
CORA,F,DIRCE,1
CORY,M,DORIVAL,5
CRISSY,F,DOLORES,1
CRISTIAN,M,DOUGLAS,1
CRISTIN,F,DORA,5
CYNDY,F,DULCE,5
DAISUKE,M,DURVAL,1
DAISY,F,EDINA,1
DALE,M,EDGAR,1
DALTON,M,EDILSON,5
DANA,F,EDITE,1
DANIELLE,F,ELAINE,1
DAPHNE,F,ELENA,1
DARCY,F,ELIANA,1
DARIAN,M,EDMUNDO,1
DARIUS,M,EDNALDO,1
DARRIN,M,EDSON,1
DAVID,M,EDUARDO,1
DAVIS,M,ELISEU,1
DAWSON,M,EMILIANO,1
DAYTON,M,EMILIO,1
DEAN,M,ENEAS,1
DEANDRE,M,ERASMO,1
DEBRA,F,ELISA,1
DECLAN,M,ERNANI,1
DEMETRIUS,M,ERNESTO,1
DENISE,F,ELOISA,1
DEREK,M,EUCLIDES,1
DEVAN,M,EUGENIO,1
DEZ & LUKE,pair,LIA & LUCA,1
DIANA,F,ELZA,5
DIANNE,F,EMILIA,1
DILLON,M,EURICO,1
DOMINIK,M,EVANDRO,1
DONALD,M,EVARISTO,1
DONNY,F,ERICA,1
DOUG,M,EZEQUIEL,1
DOUGLAS,M,FABIANO,1
DREW,M,FABIO,1
DUDLEY,M,FAUSTO,1
DUNCAN,M,FELICIO,1
DUSTY,M,FELIPE,5
DWAYNE,M,FERNANDO,1
DYLAN,M,FIRMINO,5
ED,M,FLAVIO,1
EDDIE,M,FLORIANO,1
EDGAR,M,FREDERICO,1
EDMOND,M,GABRIEL,1
EDWARD,M,GASPAR,1
EDWARDO,M,GENARO,1
EDWIN,M,GERALDO,5
ELI,M,GERSON,1
ELIJAH,M,GETULIO,1
ELLIOT,M,GILBERTO,5
ERIC,M,GILDO,1
ERNEST,M,GILSON,5
ETHAN,M,GLAUCO,5
EVERETT,M,GONCALO,1
FABIAN,M,GUSTAVO,1
FELIX,M,HEITOR,1
FERNANDO,M,HELIO,5
FLINT,M,HENRIQUE,1
FOSTER,M,HERALDO,1
FRANKLIN,M,HERMES,1
FREDRICK,M,HIGINO,1
GABBY & TY,pair,BIA & TITO,6
GABRIELLE,F,ESTELA,5
GARRET,M,HILARIO,1
GARRISON,M,HIPOLITO,1
GEORGE,M,HORACIO,1
GEORGIA,F,ESTER,1
GERALD,M,HUGO,1
GILBERT,M,HUMBERTO,1
GINA & MIA,pair,NINA & GI,2
GRACE,F,EUNICE,1
GREG,M,IGOR,1
GWEN,F,EVA,1
HAILEY,F,FABIANA,1
HALEY,F,FATIMA,5
HALLE,F,FERNANDA,1
HANNAH,F,FLAVIA,1
HARRISON,M,INACIO,1
HAYDEN,M,IRINEU,1
HECTOR,M,ISAIAS,1
HEIDI,F,FRANCISCA,1
HELENE,F,GABRIELA,1
HENRY,M,ISMAEL,1
HERMAN,M,IVAN,1
HIDEO,M,IVO,1
HITOSHI,M,JAIME,1
HOPE,F,GENI,1
HUDSON,M,JANUARIO,1
HUEY,M,JERONIMO,1
HUGH,M,JOAQUIM,1
HUMBERTO,M,JORGE,1
IMANI,F,GILDA,1
IRENE,F,GISELE,1
ISAAC,M,JOSE,5
ISABEL,F,GLAUCIA,5
ISABELLA,F,GLORIA,1
ISABELLE,F,GRAZIELA,1
ISAIAH,M,JOVINO,5
ISOBEL,F,HELENA,1
IVAN,M,JUCA,1
JACE,M,JULIO,1
JACK,M,JURANDIR,1
JACKI,F,HELOISA,5
JACKSON,M,JUSTINO,5
JACLYN,F,IEDA,1
JACOB,M,LAERTE,1
JAIDEN,M,LAURO,1
JAMES,M,LEANDRO,5
JANI,F,INES,1
JANICE,F,IOLANDA,1
JARED,M,LEONARDO,1
JASMINE,F,IRACEMA,1
JAYLEN,M,LEONEL,1
JAZMYN,F,IRENE,1
JEFF,M,LINDOLFO,1
JEFFREY,M,LIVIO,5
JENNA,F,ISABEL,1
JENNIFER,F,ISADORA,1
JENNY,F,IVANI,5
JEROME,M,LOURIVAL,1
JERRY,M,LUCAS,5
JESSICA,F,IVONE,5
JOCELYN,F,JANDIRA,1
JODY,F,JOANA,1
JOEY,M,LUCIANO,1
JOHANNA,F,JOSEFA,1
JOHN & JAY,pair,NEI & ADA,5
JOHNSON,M,LUIS,1
JONAH,M,LUIZ,1
JONAS,M,MANOEL,1
JONATHAN,M,MANUEL,1
JOSE,M,MARCELO,1
JOSEPH,M,MARCIO,1
JOSH,M,MARCOS,1
JOSHUA,M,MARIO,1
JOSUE,M,MARTIM,1
JULIE,F,JOVITA,1
JULIO,M,MATEUS,1
JUSTIN,M,MAURICIO,1
KAI,M,MAURO,1
KALEB,M,MAXIMO,1
KARA,F,JULIA,1
KAREN,F,JULIANA,5
KATE & JOY,pair,NEIA & LU,1
KATELYN,F,JUREMA,5
KATELYNN,F,KARINA,1
KATHLEEN,F,LARISSA,1
KATIE,F,LAURA,1
KAYLA,F,LEILA,1
KAYLEE,F,LENIRA,1
KAYLEY,F,LETICIA,1
KEEGAN,M,MIGUEL,1
KEIGO,M,MILTON,1
KEIRA,F,LIGIA,1
KELVIN,M,MOACIR,1
KENT,M,MOISES,1
KEVIN,M,MURILO,1
KIM & IRIS,pair,LIS & IRIS,1
KINDRA,F,LILIAN,1
KIRA & DAN,pair,IARA & TON,5
KIRK,M,NABOR,1
KIYO,M,NELSON,1
KOICHI,M,NESTOR,1
KOJI,M,NEWTON,5
KYLA,F,LUCIA,1
KYRA,F,LUCIANA,1
LAO,M,NICOLAU,5
LARRY,M,NILTON,1
LAURA,F,LUIZA,1
LAUREL,F,LURDES,1
LAWRENCE,M,NIVALDO,1
LEA & JED,pair,LEA & JAIR,1
LEAF,F,MADALENA,1
LEAH,F,MAFALDA,1
LENNY,M,NOEL,1
LEONARD,M,NORBERTO,1
LEONARDO,M,ODAIR,1
LEONEL,M,ODILON,1
LEROY,M,OLAVO,1
LILA & ROY,pair,LILA & RUI,5
LILITH,F,MAGDA,1
LINDA,F,MANUELA,1
LISA & RAY,pair,LISA & RAI,1
LOLA,F,MARA,5
LORENZO,M,OLEGARIO,1
LUCAS,M,OLIVIO,2
LUIS,M,ORESTES,1
LUNG,M,ORLANDO,1
LYDIA,F,MARCIA,5
LYLE,M,OSCAR,1
MACEY,F,MARGARIDA,1
MADELINE,F,MARIANA,5
MAKAYLA,F,MARILDA,1
MARC,M,OSMAR,1
MARCEL,M,OSVALDO,1
MARCOS,M,OTAVIO,1
MARIA,F,MARINA,5
MARIELA,F,MARLENE,1
MARK,M,OTONIEL,1
MARLENE,F,MATILDE,1
MARLEY,F,MILENA,1
MARTHA,F,MIRIAM,1
MARY,F,MONICA,1
MATTHEW,M,PASCOAL,1
MAURA,F,NADIA,1
MEL & PAUL,pair,MEL & SAUL,1
MELINA,F,NAIR,1
MELISSA,F,NATALIA,1
MICAH,M,PATRICIO,1
MICHELLE,F,NEIDE,1
MIGUEL,M,PAULO,5
MIKE,M,PEDRO,2
MISSY,F,NELMA,1
MITCHELL,M,PERCIVAL,1
MIU & YUKI,pair,IZA & YARA,1
MOLLIE,F,NEUSA,1
MYLES,M,PLINIO,1
NANCY,F,NILDA,1
NAOMI,F,NOEMIA,1
NATE,M,PORFIRIO,1
NED,M,QUIRINO,1
NICHOLAS,M,RAFAEL,1
NICOLAS,M,RAIMUNDO,5
NIKKI,F,NORMA,1
NOB,M,RAMIRO,5
NOLAN,M,REINALDO,1
NOLEN,M,REMIGIO,1
OLIVIA,F,ODETE,1
OWEN,M,RENATO,1
PABLO,M,RICARDO,5
PARKER,M,ROBERTO,1
PAT,F,OLGA,1
PATRICIA,F,PALOMA,1
PAUL,M,RODOLFO,1
PAULA,F,PATRICIA,1
PAXTON,M,RODRIGO,1
PERRY,M,ROGERIO,1
PETE,M,ROLANDO,1
PHIL,M,ROMEU,1
PHILLIP,M,ROMUALDO,1
PRESLEY,M,RONALDO,1
PRESTON,M,ROQUE,1
QUINCY,M,RUBENS,1
RACHEL,F,PAULA,1
RANDALL,M,SAMUEL,1
RED,M,SANDRO,1
REED,M,SAULO,1
RELI & IAN,pair,NELI & IAN,1
REYNA,F,PRISCILA,1
RHETT,M,SERAFIM,1
RICHARD,M,SERGIO,1
RICK,M,SEVERINO,1
RICKY,M,SILAS,5
RILEY,M,SILVERIO,1
ROBERT,M,SILVIO,5
ROBIN,F,RAIMUNDA,1
RODNEY,M,SIQUEIRA,1
ROGER,M,SOCRATES,1
ROLAND,M,TARCISIO,1
RONALD,M,TEODORO,1
ROSE,F,REGINA,5
RUBEN,M,TIAGO,1
SALLY,F,RENATA,1
SAMANTHA,F,ROSANA,1
SAMUEL,M,TIMOTEO,1
SANTIAGO,M,TOBIAS,1
SARAH,F,ROSELI,1
SAWYER,M,TOMAS,5
SEBASTIAN,M,TULIO,1
SHANE,M,ULISSES,1
SHANNON,F,RUTE,1
SHARON,F,SANDRA,1
SHAWN,M,URBANO,1
SHAYLA,F,SELMA,1
SHEILA,F,SIMONE,1
SHELBY,F,SOLANGE,5
SHIRLEY,F,SONIA,1
SIENNA,F,SUELI,1
SIMON,M,VALDEMAR,1
SOPHIA,F,SUZANA,1
SOPHIE,F,TANIA,1
SPENCER,M,VALDIR,1
STAN,M,VALENTIM,1
STEVE,M,VALERIO,5
SUSIE,F,TATIANA,1
SYLVIA,F,TELMA,1
TAKAO,M,VICENTE,1
TAKASHI,M,VIRGILIO,1
TALIA,F,TEREZA,1
TAMMY,F,THAIS,1
TANYA,F,VALDIRENE,1
TARA,F,VALERIA,1
TASHA,F,VANDA,1
TAYLOR,M,VITOR,1
TED,M,VLADIMIR,1
TERRY,F,VANESSA,1
THALIA,F,VERA,5
THOMAS,M,WAGNER,1
TIANA,F,VILMA,1
TIFFANY,F,VIRGINIA,1
TIMMY,M,WALDEMAR,1
TIMOTHY,M,WALDIR,5
TISHA,F,VITORIA,1
TOMMY,M,WALTER,1
TONY,M,WILSON,5
TORI & TIA,pair,TINA & MIA,1
TRAVIS,M,XAVIER,1
TRENT,M,ZACARIAS,5
TYRA & IVY,pair,TAIS & IVA,1
TYRON,M,ABILIO,1
VALERIE,F,VIVIANE,5
VANESSA,F,WILMA,1
VICKY,F,ZELIA,1
VICTOR,M,AGENOR,1
VICTORIA,F,ZILDA,1
VINCENT,M,ALAOR,1
VIOLET,F,ZORAIDE,1
VIRGIL,M,ALIPIO,1
VITO,M,ALTAIR,1
VIVI,F,ALDA,1
VIVIAN,F,AUREA,1
WADE,M,AMANCIO,1
WALTER,M,AMERICO,5
WARREN,M,ANACLETO,1
WAYNE,M,AQUILES,1
WENDY,F,BRIGIDA,1
WILLIAM,M,ARNO,1
WILTON,M,ASSIS,5
WINSTON,M,ATILIO,5
WYATT,M,AVELINO,1
YASU,M,BELMIRO,1
YUJI,M,BENJAMIM,1
ZANDER,M,BERILO,1
