species,action,back_error,front_after_error
217,keep,14.9,0.0
218,keep,21.4,0.0
219,keep,17.9,0.0
220,rebuild,22.5,11.6
221,keep,20.0,0.0
222,keep,14.6,0.0
223,keep,16.9,0.0
224,rebuild,21.3,19.1
225,keep,24.3,0.0
226,keep,17.6,0.0
227,keep,10.3,0.0
228,rebuild,14.3,9.6
229,keep,16.4,0.0
230,keep,18.9,0.0
231,keep,20.8,0.0
232,keep,17.1,0.0
233,keep,14.4,0.0
234,keep,12.5,0.0
235,keep,20.1,0.0
236,keep,13.0,0.0
237,keep,11.5,0.0
238,keep,22.2,0.0
239,keep,19.1,0.0
240,keep,12.7,0.0
241,keep,11.0,0.0
242,keep,16.2,0.0
243,keep,21.7,0.0
244,keep,17.7,0.0
245,keep,23.5,0.0
246,rebuild,24.8,23.7
247,keep,18.5,0.0
248,keep,14.8,0.0
249,keep,18.8,0.0
250,keep,21.5,0.0
251,keep,20.3,0.0
252,keep,16.5,0.0
253,keep,19.2,0.0
254,keep,13.5,0.0
255,keep,23.6,0.0
256,keep,19.3,0.0
257,rebuild,24.5,18.2
258,keep,15.1,0.0
259,keep,15.2,0.0
260,keep,17.6,0.0
261,keep,18.5,0.0
262,rebuild,24.6,21.9
263,keep,15.2,0.0
264,keep,11.1,0.0
265,keep,15.8,0.0
266,residual,28.3,0.0
267,keep,19.0,0.0
268,keep,21.3,0.0
269,keep,19.8,0.0
270,keep,9.8,0.0
271,keep,18.5,0.0
272,residual,30.8,0.0
273,keep,23.3,0.0
274,residual,35.8,0.0
275,rebuild,21.5,17.6
276,residual,31.2,0.0
277,residual,33.8,0.0
278,keep,18.5,0.0
279,keep,14.5,0.0
280,keep,16.7,0.0
281,keep,19.0,0.0
282,keep,23.7,0.0
283,keep,23.4,0.0
284,keep,21.6,0.0
285,keep,23.8,0.0
286,keep,22.9,0.0
287,keep,21.8,0.0
288,keep,13.5,0.0
289,keep,20.1,0.0
290,rebuild,23.4,19.5
291,keep,16.9,0.0
292,keep,18.6,0.0
293,keep,24.1,0.0
294,keep,20.1,0.0
295,keep,16.0,0.0
296,rebuild,23.9,13.5
297,residual,28.5,0.0
298,keep,12.4,0.0
299,keep,15.5,0.0
300,undersized,,
301,keep,21.9,0.0
302,keep,22.0,0.0
303,keep,23.2,0.0
304,keep,15.6,0.0
305,keep,14.0,0.0
306,keep,16.3,0.0
307,keep,13.5,0.0
308,keep,20.7,0.0
309,keep,14.1,0.0
310,keep,24.0,0.0
311,keep,14.6,0.0
312,keep,19.1,0.0
313,rebuild,18.1,20.2
314,keep,11.0,0.0
315,keep,20.2,0.0
316,rebuild,14.9,8.9
317,rebuild,14.8,1.2
318,rebuild,18.8,6.2
319,rebuild,21.2,11.1
320,rebuild,20.4,7.7
321,undersized,,
322,undersized,,
323,undersized,,
324,rebuild,18.7,19.7
325,rebuild,11.8,8.3
326,rebuild,11.1,3.8
327,residual,49.3,0.0
328,rebuild,23.7,10.7
329,rebuild,23.6,2.4
330,rebuild,18.1,1.5
331,rebuild,12.9,1.7
332,rebuild,23.8,16.4
333,rebuild,22.8,16.0
334,rebuild,14.8,9.8
335,rebuild,12.1,7.7
336,rebuild,23.7,6.2
337,rebuild,23.8,11.3
338,rebuild,17.5,5.8
339,rebuild,17.6,10.2
340,rebuild,13.8,8.6
341,rebuild,17.5,9.7
342,rebuild,19.7,6.9
343,rebuild,22.0,3.3
344,rebuild,22.2,15.2
345,rebuild,24.5,8.7
346,rebuild,17.9,13.5
347,rebuild,12.2,2.7
348,residual,109.4,0.0
349,rebuild,14.5,1.0
350,rebuild,9.3,3.1
351,rebuild,14.1,8.0
352,rebuild,14.1,18.8
353,rebuild,11.3,1.9
354,rebuild,17.1,10.0
355,rebuild,18.7,6.5
356,rebuild,15.7,0.2
357,rebuild,15.8,17.6
358,rebuild,16.2,14.1
359,rebuild,15.5,11.5
360,undersized,,
361,rebuild,25.0,3.5
362,residual,123.4,0.0
363,rebuild,23.5,8.8
364,rebuild,24.8,0.6
365,rebuild,21.2,3.7
366,rebuild,14.9,4.7
367,rebuild,16.8,9.2
368,residual,95.3,0.0
369,rebuild,11.3,10.3
370,rebuild,20.1,19.3
371,rebuild,12.9,7.6
372,rebuild,10.9,1.3
373,rebuild,19.4,14.5
374,rebuild,12.3,14.3
375,rebuild,11.6,6.5
376,rebuild,20.2,2.2
377,rebuild,22.3,18.4
378,rebuild,19.4,7.9
379,rebuild,15.5,8.0
380,rebuild,23.5,18.1
381,rebuild,24.4,15.2
382,rebuild,22.4,10.1
383,residual,138.1,0.0
384,rebuild,17.8,4.0
385,rebuild,18.7,10.3
386,rebuild,22.1,20.9
