dex,name,types,recommended_level,placement
329,Guaraciana,fire/fairy,60,SERRA DO UIVO / TORRE JURAMENTO - santuario dedicado
330,Jaciana,fairy/water,60,BAIA DAS LUZES / aguas costeiras - encontro estatico
331,Tupanaú,electric/dragon,60,SERRA DO UIVO / TORRE JURAMENTO - santuario dedicado
332,Iaraú,water/fairy,60,MATA DO MEIO / CAVERNAS M'BOI - encontro estatico
333,Kuarahy,fire/psychic,60,SERRA DO UIVO / TORRE JURAMENTO - santuario dedicado
334,Yasy,fairy/dark,60,SERRA DO UIVO / TORRE JURAMENTO - santuario dedicado
335,Rudarauna,fairy/psychic,60,BAIA DAS LUZES / aguas costeiras - encontro estatico
336,Perybé,water/psychic,60,MATA DO MEIO / CAVERNAS M'BOI - encontro estatico
337,Arauanaú,fairy/dragon,62,TORRE JURAMENTO / ESTR. JURAMENTO
338,Verdejante,grass/dragon,60,MATA DO MEIO / CAVERNAS M'BOI - encontro estatico
339,Chuvão,water/electric,60,BAIA DAS LUZES / aguas costeiras - encontro estatico
340,Solzão,fire/ground,58,SERRA DA CINZA / torre ou ruina dedicada
341,Ventania,flying/dragon,58,Cerrado tardio / santuario dedicado
342,Terraão,ground/rock,62,RUINAS DA QUEDA / ESTR. JURAMENTO
343,Fogaréu,fire/dragon,60,SERRA DO UIVO / TORRE JURAMENTO - santuario dedicado
344,Marulho,water/dragon,60,BAIA DAS LUZES / aguas costeiras - encontro estatico
345,Alvorecer,fairy/fire,60,BAIA DAS LUZES / aguas costeiras - encontro estatico
346,Poente,dark/fire,60,BAIA DAS LUZES / aguas costeiras - encontro estatico
347,Estrelinha,fairy/psychic,65,SERRA DO UIVO / TORRE JURAMENTO - santuario dedicado
348,Arauanamon,dragon/fairy,68,TORRE JURAMENTO / ESTR. JURAMENTO
376,Boitatã,fire/dragon,65,Cerrado tardio / santuario dedicado
377,Piraruaçu,water/dragon,65,MATA DO MEIO / CAVERNAS M'BOI - encontro estatico
378,Mata-Mata,grass/dragon,65,MATA DO MEIO / CAVERNAS M'BOI - encontro estatico
379,Solaris,fire/psychic,65,SERRA DO UIVO / TORRE JURAMENTO - santuario dedicado
380,Selenê,dark/psychic,65,SERRA DO UIVO / TORRE JURAMENTO - santuario dedicado
381,Zumbi-Rei,fighting/dark,65,SERRA DO UIVO / TORRE JURAMENTO - santuario dedicado
382,Iemanjã,water/fairy,65,BAIA DAS LUZES / aguas costeiras - encontro estatico
383,Oxumará,dragon/fairy,65,BAIA DAS LUZES / aguas costeiras - encontro estatico
384,Curupixel,grass/fairy,65,MATA DO MEIO / CAVERNAS M'BOI - encontro estatico
385,Sacinho,dark/fairy,65,Cerrado tardio / santuario dedicado
386,Arauá,dragon/psychic,75,TORRE JURAMENTO / evento final dedicado
