dex,name,types,status,productionMethod,referenceStatus,frontPicBox,backPicBox,iconPalIndex,visibleColors,animation,shiny
1,Caramelo,fire,integrated,hand-prepared-approved,available,56/54,56/56,3,15,two-frame-idle-lift,type-directed-palette
2,Caramelão,fire,integrated,hand-prepared-approved,available,60/56,60/56,3,15,two-frame-idle-lift,type-directed-palette
3,Draguará,fire/dragon,integrated,hand-prepared-approved,available,60/60,60/60,3,15,two-frame-idle-lift,type-directed-palette
4,Querô,water,integrated,hand-prepared-approved,available,48/56,48/56,2,15,two-frame-idle-lift,type-directed-palette
5,Queribela,water/bug,integrated,hand-prepared-approved,available,60/60,60/60,2,15,two-frame-idle-lift,type-directed-palette
6,Terolibra,water/bug,integrated,hand-prepared-approved,available,62/60,62/60,4,15,two-frame-idle-lift,type-directed-palette
7,Pimpau,grass,integrated,hand-prepared-approved,available,54/54,52/56,5,15,two-frame-idle-lift,type-directed-palette
8,Bicopau,grass,integrated,hand-prepared-approved,available,54/58,54/58,1,15,two-frame-idle-lift,type-directed-palette
9,Petropico,grass/rock,integrated,hand-prepared-approved,available,58/60,58/60,5,15,two-frame-idle-lift,type-directed-palette
10,Formilim,bug,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
11,Saúvarco,bug/ground,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
12,Capivim,water/normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,4,15,two-frame-idle-lift,type-directed-palette
13,Tucanhão,flying/grass,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
14,Sagüim,normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
15,Micuiras,normal/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
16,Boitatá,fire/ghost,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
17,Curupim,grass/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
18,Curupira,grass/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
19,Iaraço,water/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,4,15,two-frame-idle-lift,type-directed-palette
