dex,name,types,biome_or_region,reference_file,reference_status,reference_width,reference_height,reference_mode,production_status,needs_front,needs_back,needs_icon,needs_shiny,needs_animation
001,Caramelo,fire,Periferia de Arauana,001_caramelo.png,available,1024,1024,RGB,pilot-awaiting-approval,candidate-awaiting-approval,candidate-awaiting-approval,candidate-awaiting-approval,candidate-awaiting-approval,candidate-awaiting-approval
002,Caramelão,fire,Periferia de Arauana,002_caramelao.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
003,Draguará,fire/dragon,Serra de Arauana,003_draguara.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
004,Querô,water,Pampas de Arauana,004_quero.png,available,1024,1024,RGB,pilot-awaiting-approval,candidate-awaiting-approval,candidate-awaiting-approval,candidate-awaiting-approval,candidate-awaiting-approval,candidate-awaiting-approval
005,Queribela,water/bug,Banhados de Arauana,005_queribela.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
006,Terolibra,water/bug,Banhados de Arauana,006_terolibra.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
007,Pimpau,grass,Cerrado de Arauana,007_pimpau.png,available,1024,1024,RGB,pilot-awaiting-approval,candidate-awaiting-approval,candidate-awaiting-approval,candidate-awaiting-approval,candidate-awaiting-approval,candidate-awaiting-approval
008,Bicopau,grass,Cerrado de Arauana,008_bicopau.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
009,Petropico,grass/rock,Chapadas de Arauana,009_petropico.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
010,Formilim,bug,Cerrado de Arauana,010_formilim.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
011,Saúvarco,bug/ground,Cerrado de Arauana,011_sauvarco.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
012,Capivim,water/normal,Rios de Arauana,012_capivim.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
013,Tucanhão,flying/grass,Mata Atlântica de Arauana,013_tucanhao.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
014,Sagüim,normal,Mata Atlântica de Arauana,014_saguim.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
015,Micuiras,normal/psychic,Mata Atlântica de Arauana,015_micuiras.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
016,Boitatá,fire/ghost,Campos queimados de Arauana,016_boitata.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
017,Curupim,grass/fairy,Mata Atlântica de Arauana,017_curupim.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
018,Curupira,grass/fairy,Mata Atlântica de Arauana,018_curupira.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
019,Iaraço,water/fairy,Rio Solimões de Arauana,019_iaraco.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
020,Sacizinho,dark/flying,Cerrado de Arauana,020_sacizinho.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
021,Cactula,grass/poison,Caatinga de Arauana,021_cactula.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
022,Muriçoco,bug/poison,Amazônia de Arauana,022_muricoco.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
